"id","catalog_number","description"
"2851884","VGFS15V-MSP","CPR-WDK VGFS15V-MSP GFCI/SP SW Combo 15A 125V Mid Wlplt IV"
"2851883","VGFH20WPSOL","CPR-WDK VGFH20WPSOL GFCI HG Deco Duplex 20A 125V 7^ Solid Ld"
"2851882","VGFH20WMOD","CPR-WDK VGFH20WMOD GFCI HG Deco Duplex 20A 125V MOD WH"
"2851881","VGFH20W","CPR-WDK VGFH20W GFCI HG Deco Duplex 20A 125V WH"
"2851880","VGFH20V-PSTR","CPR-WDK VGFH20V-PSTR GFCI HG Deco Duplex 20A125V StrandedLead"
"2851879","VGFH20VMOD","CPR-WDK VGFH20VMOD GFCI HG Deco Duplex 20A 125V MOD IV"
"2851878","VGFH20V","CPR-WDK VGFH20V GFCI HG Deco Duplex 20A 125V IV"
"2851877","VGFH20RD-PSTR","CPR-WDK VGFH20RD-PSTR GFCI HG Deco Duplex 20A125V StrandedLead"
"2851876","VGFH20RDMOD","CPR-WDK VGFH20RDMOD GFCI HG Deco Duplex 20A 125V MOD RD"
"2851875","VGFH20RD","CPR-WDK VGFH20RD GFCI HG Deco Duplex 20A 125V RD"
"2851874","VGFH20LAMOD","CPR-WDK VGFH20LAMOD GFCI HG Deco Duplex 20A 125V MOD LA"
"2851873","VGFH20LA","CPR-WDK VGFH20LA 1FCI HG Deco Duplex 20A 125V LA"
"2851872","VGFH20GY-PSTR","CPR-WDK VGFH20GY-PSTR GFCI HG DecoDuplex20A 7^ Strnd LdsStr GY"
"2851871","VGFH20GYMOD","CPR-WDK VGFH20GYMOD GFCI HG Deco Duplex 20A 125V MOD GY"
"2851870","VGFH20GY","CPR-WDK VGFH20GY GFCI HG Deco Duplex 20A 125V GY"
"2851869","VGFH20FW","CPR-WDK VGFH20FW GFCI HG Deco Duplex 20A 125V WH NAFTA"
"2851868","VGFH20FVMOD","CPR-WDK VGFH20FVMOD GFCI HG Duplex 20A 125V MOD IV NAFTA"
"2851867","VGFH20FV","CPR-WDK VGFH20FV GFCI HG Deco Duplex 20A 125V IV NAFTA"
"2851866","VGFH20FRDMOD","CPR-WDK VGFH20FRDMOD GFCI HG Duplex 20A 125V MOD RD NAFTA"
"2851865","VGFH20FRD","CPR-WDK VGFH20FRD GFCI HG Deco Duplex 20A 125V RD NAFTA"
"2851864","VGFH20FLA","CPR-WDK VGFH20FLA GFCI HG Deco Duplex 20A 125V LA NAFTA"
"2851863","VGFH20FGY","CPR-WDK VGFH20FGY GFCI HG Deco Duplex 20A 125V GY NAFTA"
"2851862","VGFH20FB","CPR-WDK VGFH20FB GFCI HG Deco Duplex 20A 125V BR NAFTA"
"2851861","VGFH20BM","CPR-WDK VGFH20BM GFCI HG Deco Duplex 20A 125V MOD BR"
