id,catalog_number,specifications
824803,RS08BNPKUTMCL,ISO Ref.:08B-1 |Connecting Link:RS08BNPKUTMCL |Pitch:0.500 in 12.7 mm|Roller Diameter:0.335 in 8.51 mm|Inside Width:0.305 in 7.75 mm|Clamp Type:Type M |Clamping Force:50 N|Base Chain Material:NP |Clamp Material:SS |Spring Material:SA 
824807,RS08BNPKUTSCL,ISO Ref.:08B-1 |Connecting Link:RS08BNPKUTSCL |Pitch:0.500 in 12.7 mm|Roller Diameter:0.335 in 8.51 mm|Inside Width:0.305 in 7.75 mm|Clamp Type:Standard |Clamping Force:55 N|Base Chain Material:NP |Clamp Material:SS |Spring Material:SS 
825164,R2-2,Pitch:6.000 in|W - Width Between Inner Link Plates:1.142 in|Average Tensile Strength - VJ Series:48500 lb|Approx. Weight:5.380 lb/ft
389886,160TL3,"Weight:42.000 lb|Use Bushing:4545 |D:8.750 in|P:8.750 in|L:4.500 in|T:1.500 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
389922,60TL1,"Weight:1.500 lb|Use Bushing:2012 |D:3.625 in|P:3.438 in|L:1.250 in|T:0.438 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
389918,W35,Type :W |For Use with Bushing:3535 |Max. Bore of Bushing:1.188 in|A:6.750 in|B:3.500 in|C:1.250 in|D:1.000 in|F:0.375 in|G:6.250 in|H:5.938 in|J:5.000 in|K:6.000 in|Weight:15.000 lb
389950,160FW,Type :B |Weight:14.000 lb|Use Bushing:F |D:7.000 in|P:6.625 in|L:2.500 in|T:1.094 in
389946,120TL2,"Weight:4.200 lb|Use Bushing:3020 |D:5.250 in|P:5.000 in|L:2.000 in|T:0.875 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
390027,40SKW,Type :B |Weight:2.400 lb|Use Bushing:SK |D:4.250 in|P:3.875 in|L:1.250 in|T:0.250 in
389966,60SDSW,Type :B |Weight:1.000 lb|Use Bushing:SDS |D:3.500 in|P:3.125 in|L:0.750 in|T:0.438 in
390330,PL1K,d - Shaft O.D.:1.000 in|t1 - Shaft Dia. Tolerance:-0.0013 in +0 |D - Hub Counter I.D.:1.688 in|t2 - Hub Counter ID Tolerance:+0.0015 in -0 |D1 - O.D. of KE:1.875 in|Lt:1.181 in|L:0.984 in|L2:0.813 in|l:0.591 in|Transmissible Torque:257 ft·lb|Transmissible Thrust:5836 lb|P - Shaft Contact Pressure:30894 psi|P1 - Hub Bore Contact Pressure:18275 psi|Qty. Locking Bolts:8 |Size Locking Bolts:M5 x 20 |Tightening Torque:7.500 ft·lb|Weight:0.350 lb
390491,PL2K,d - Shaft O.D.:2.000 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:2.875 in|t2 - Hub Counter ID Tolerance:+0.0018 in -0 |D1 - O.D. of KE:3.063 in|Lt:1.594 in|L:1.358 in|L2:1.125 in|l:0.748 in|Transmissible Torque:1180 ft·lb|Transmissible Thrust:13382 lb|P - Shaft Contact Pressure:27848 psi|P1 - Hub Bore Contact Pressure:19435 psi|Qty. Locking Bolts:13 |Size Locking Bolts:M6 x 25 |Tightening Torque:12.500 ft·lb|Weight:1.120 lb
391243,AL1066,P - Pitch:1.250 in|Lacing:6x6 |Min. Tensile Strength:66000 lb|S - Hole Diameter:0.377 in|Approx. Weight:5.310 lb/ft
391528,BL1223,Lacing:2x3 |P - Pitch:1.500 in|Min. Tensile Strength:41800 lb|ASME/ANSI Min. Tensile Strength:34000 lb|S - Hole Diameter:0.502 in|Approx. Weight:4.390 lb/ft
389913,W16,Type :W |For Use with Bushing:1615 |Max. Bore of Bushing:0.500 in|A:3.250 in|B:1.500 in|C:0.375 in|D:0.625 in|F:0.375 in|G:2.875 in|H:2.750 in|J:2.375 in|K:3.000 in|Weight:1.500 lb
389969,40SDSW,Type :B |Weight:1.000 lb|Use Bushing:SDS |D:3.500 in|P:3.125 in|L:0.750 in|T:0.250 in
389957,120TL1,"Weight:2.600 lb|Use Bushing:2517 |D:4.250 in|P:4.000 in|L:1.750 in|T:0.875 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
389949,160TL2,"Weight:12.600 lb|Use Bushing:3535 |D:6.500 in|P:6.250 in|L:3.500 in|T:1.125 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
389953,100TL1,"Weight:2.700 lb|Use Bushing:2517 |D:4.250 in|P:4.125 in|L:1.750 in|T:0.688 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
389944,140TL1,"Weight:25.000 lb|Use Bushing:4040 |D:7.750 in|P:7.750 in|L:4.000 in|T:1.000 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
389974,80TL3,"Weight:4.300 lb|Use Bushing:3020 |D:5.250 in|P:5.000 in|L:2.000 in|T:0.562 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
389917,W45,Type :W |For Use with Bushing:4545 |Max. Bore of Bushing:1.938 in|A:8.750 in|B:4.500 in|C:1.750 in|D:1.000 in|F:0.375 in|G:8.000 in|H:7.625 in|J:6.375 in|K:8.000 in|Weight:42.000 lb
391670,BL1023,Lacing:2x3 |P - Pitch:1.250 in|Min. Tensile Strength:31700 lb|ASME/ANSI Min. Tensile Strength:26000 lb|S - Hole Diameter:0.439 in|Approx. Weight:3.150 lb/ft
391690,BL1434,Lacing:3x4 |P - Pitch:1.750 in|Min. Tensile Strength:87000 lb|ASME/ANSI Min. Tensile Strength:71000 lb|S - Hole Diameter:0.564 in|Approx. Weight:7.610 lb/ft
391877,AL622,P - Pitch:0.750 in|Lacing:2x2 |Min. Tensile Strength:8600 lb|S - Hole Diameter:0.236 in|Approx. Weight:0.580 lb/ft
391910,AL1022,P - Pitch:1.250 in|Lacing:2x2 |Min. Tensile Strength:22000 lb|S - Hole Diameter:0.377 in|Approx. Weight:1.800 lb/ft
390189,120TL3,"Weight:13.000 lb|Use Bushing:3535 |D:6.500 in|P:6.500 in|L:3.500 in|T:1.000 in|Information:TAPER-LOCK type W weld-on hubs are
designed for use in applications such as
welding to plate sprockets, pulleys, and
agitators. They are made of steel, drilled,
tapped, and taper bored for TAPER-LOCK
bushings. "
390228,100EWB,Type :B |Weight:7.500 lb|Use Bushing:E |D:6.250 in|P:5.875 in|L:1.625 in|T:0.688 in
390217,60SKW,Type :B |Weight:2.400 lb|Use Bushing:SK |D:4.250 in|P:3.875 in|L:1.250 in|T:0.438 in
390233,80FW,Type :C |Weight:14.700 lb|Use Bushing:F |D:7.000 in|P:6.625 in|L:2.500 in|T:0.562 in
390422,PL3KE,d - Shaft O.D.:3.000 in|t1 - Shaft Dia. Tolerance:-0.0018 in +0 |D - Hub Counter I.D.:4.063 in|t2 - Hub Counter ID Tolerance:+0.0021 in -0 |D1 - O.D. of KE:4.188 in|Lt:1.909 in|L:1.594 in|L2:1.250 in|l:0.866 in|Transmissible Torque:3020 ft·lb|Transmissible Thrust:22822 lb|P - Shaft Contact Pressure:27413 psi|P1 - Hub Bore Contact Pressure:20306 psi|Qty. Locking Bolts:12 |Size Locking Bolts:M8 x 30 |Tightening Torque:30.000 ft·lb|Weight:2.350 lb
392497,BL466,Lacing:6x6 |P - Pitch:0.500 in|Min. Tensile Strength:15600 lb|ASME/ANSI Min. Tensile Strength:15000 lb|S - Hole Diameter:0.202 in|Approx. Weight:1.320 lb/ft
392493,BL566,Lacing:6x6 |P - Pitch:0.625 in|Min. Tensile Strength:26400 lb|ASME/ANSI Min. Tensile Strength:22500 lb|S - Hole Diameter:0.236 in|Approx. Weight:1.880 lb/ft
391644,BL1634,Lacing:3x4 |P - Pitch:2.000 in|Min. Tensile Strength:124500 lb|ASME/ANSI Min. Tensile Strength:99000 lb|S - Hole Diameter:0.689 in|Approx. Weight:11.390 lb/ft
391681,AL666,P - Pitch:0.750 in|Lacing:6x6 |Min. Tensile Strength:25800 lb|S - Hole Diameter:0.236 in|Approx. Weight:1.700 lb/ft
391742,40BIND,Xs:1.354 in|K:0.988 in|N:0.858 in|Approx. Weight:1.200 lbs/ft
391790,BL423,Lacing:2x3 |P - Pitch:0.500 in|Min. Tensile Strength:5300 lb|ASME/ANSI Min. Tensile Strength:5000 lb|S - Hole Diameter:0.202 in|Approx. Weight:0.560 lb/ft
391863,AL1222,P - Pitch:1.500 in|Lacing:2x2 |Min. Tensile Strength:31700 lb|S - Hole Diameter:0.439 in|Approx. Weight:2.390 lb/ft
391880,AL466,P - Pitch:0.500 in|Lacing:6x6 |Min. Tensile Strength:11200 lb|S - Hole Diameter:0.158 in|Approx. Weight:0.740 lb/ft
