id,catalog_number,chain_technical_data
394552,40B16FL,Pitch:0.500 in|Chain Size:40 
394589,2062B17,Size:C2062 |Pitch:1.500 in|Inside Width :0.500 in|Roller Diameter :0.875 in
394605,60B31F-1B,Pitch:0.750 in|Chain Size:60 
394617,D35B42,Pitch:0.375 in|Chain Size:35-2 |Inside Width :0.188 in|Roller Diameter :0.200 in
394637,40B23FJ,Pitch:0.500 in|Chain Size:40 
394548,80B13F-1B,Pitch:1.000 in|Chain Size:80 
394642,40B24F-1B,Pitch:0.500 in|Chain Size:40 
394646,60SF45,Pitch:0.750 in|Chain Size:60 
394654,40B22FP,Pitch:0.500 in|Chain Size:40 
394662,40B54FL,Pitch:0.500 in|Chain Size:40 
394666,35B23FL,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394670,35B24FJ,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
394682,180A13,Pitch:2.250 in|Chain Size:180 
394631,40B21F-1B,Pitch:0.500 in|Chain Size:40 
396073,40B24SS,Pitch:0.500 in|Chain Size:40 
394650,80B14F-1G,Pitch:1.000 in|Chain Size:80 
396085,2050B22,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
396069,160A54,Pitch:2.000 in|Chain Size:160 
396081,200A24,Pitch:2.500 in|Chain Size:200 
396089,2050B18,Size:A2050/C2050 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.400 in
396111,100B36,Pitch:1.250 in|Chain Size:100 
396107,2042B21,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
394678,35A15,Pitch:0.375 in|Chain Size:35 |Inside Width :0.188 in|Roller Diameter :0.200 in
396123,2052B9,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396115,2042B9,Size:C2042 |Pitch:1.000 in|Inside Width :0.312 in|Roller Diameter :0.625 in
396131,2052B18,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396094,2052B14,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
396151,60B45F-1H,Pitch:0.750 in|Chain Size:60 
396098,40A42,Pitch:0.500 in|Chain Size:40 
396135,2052B15,Size:C2052 |Pitch:1.250 in|Inside Width :0.375 in|Roller Diameter :0.750 in
