id,catalog_number,cad,type
133892,135105,https://mro-host.herokuapp.com/file_download/?name=baldor2d_135105_front.dxf,front
133892,135105,https://mro-host.herokuapp.com/file_download/?name=baldor2d_135105_right.dxf,right
133892,135105,https://mro-host.herokuapp.com/file_download/?name=baldor2d_135105_top.dxf,top
127680,136165,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136165_front.dxf,front
127680,136165,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136165_right.dxf,right
127680,136165,https://mro-host.herokuapp.com/file_download/?name=baldor2d_136165_top.dxf,top
1291156,077240,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077240_front.dxf,front
1291156,077240,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077240_right.dxf,right
1291156,077240,https://mro-host.herokuapp.com/file_download/?name=baldor2d_077240_top.dxf,top
129285,071453,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071453_front.dxf,front
129285,071453,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071453_right.dxf,right
129285,071453,https://mro-host.herokuapp.com/file_download/?name=baldor2d_071453_top.dxf,top
129558,038210,https://mro-host.herokuapp.com/file_download/?name=baldor2d_038210_front.dxf,front
129558,038210,https://mro-host.herokuapp.com/file_download/?name=baldor2d_038210_right.dxf,right
129558,038210,https://mro-host.herokuapp.com/file_download/?name=baldor2d_038210_top.dxf,top
130111,126526,https://mro-host.herokuapp.com/file_download/?name=baldor2d_126526_front.dxf,front
130111,126526,https://mro-host.herokuapp.com/file_download/?name=baldor2d_126526_right.dxf,right
130111,126526,https://mro-host.herokuapp.com/file_download/?name=baldor2d_126526_top.dxf,top
128767,130771,https://mro-host.herokuapp.com/file_download/?name=baldor2d_130771_front.dxf,front
128767,130771,https://mro-host.herokuapp.com/file_download/?name=baldor2d_130771_right.dxf,right
128767,130771,https://mro-host.herokuapp.com/file_download/?name=baldor2d_130771_top.dxf,top
123432,123961,https://mro-host.herokuapp.com/file_download/?name=baldor2d_123961_front.dxf,front
