id,catalog_number,key1,key2,description
2931201,4867.120.501.M00758,FXM12050SX*3+14,FXM,Ringspann 4867.120.501.M00758 FXM12050SX*3+14 INTERNAL BACKSTOP
2931200,4867.120.501.M00739,FXM12050SX*2+14,FXM,Ringspann 4867.120.501.M00739 FXM12050SX*2+14 INTERNAL BACKSTOP
2931199,4867.120.501.095h54,FXM12050SX*95MM,FXM,Ringspann 4867.120.501.095h54 FXM12050SX*95MM INTERNAL BACKSTOP
2931198,4867.120.501.090h54,FXM12050SX*90MM,FXM,Ringspann 4867.120.501.090h54 FXM12050SX*90MM INTERNAL BACKSTOP
2931197,4867.120.501.080h54,FXM12050SX*80MM,FXM,Ringspann 4867.120.501.080h54 FXM12050SX*80MM INTERNAL BACKSTOP
2931196,4867.120.501.075h49,FXM12050SX*75MM,FXM,Ringspann 4867.120.501.075h49 FXM12050SX*75MM INTERNAL BACKSTOP
2931195,4867.120.501.065h44,FXM12050SX*65MM,FXM,Ringspann 4867.120.501.065h44 FXM12050SX*65MM INTERNAL BACKSTOP
2931194,4867.120.501.060h44,FXM12050SX*60MM,FXM,Ringspann 4867.120.501.060h44 FXM12050SX*60MM INTERNAL BACKSTOP
2931193,4867.120.501.055h43,FXM12050SX*55MM,FXM,Ringspann 4867.120.501.055h43 FXM12050SX*55MM INTERNAL BACKSTOP
2931192,4867.101.200.M01009,FXM10125DX*28762877,FXM,Ringspann 4867.101.200.M01009 FXM10125DX*28762877 INTERNAL BACKSTOP
2931191,4867.101.200.055h43,FXM10125DX*55MM,FXM,Ringspann 4867.101.200.055h43 FXM10125DX*55MM INTERNAL BACKSTOP
2931190,4867.101.200.045h38,FXM10125DX*45MM,FXM,Ringspann 4867.101.200.045h38 FXM10125DX*45MM INTERNAL BACKSTOP
2931189,4867.100.501.M00748,FXM10040SX*2+34,FXM,Ringspann 4867.100.501.M00748 FXM10040SX*2+34 INTERNAL BACKSTOP
2931188,4867.100.501.M00746,FXM10040SX*2+12,FXM,Ringspann 4867.100.501.M00746 FXM10040SX*2+12 INTERNAL BACKSTOP
2931187,4867.100.501.M00737,FXM10040SX*2,FXM,Ringspann 4867.100.501.M00737 FXM10040SX*2 INTERNAL BACKSTOP
2931186,4867.100.501.080h31,FXM10040SX*80MM,FXM,Ringspann 4867.100.501.080h31 FXM10040SX*80MM INTERNAL BACKSTOP
2931185,4867.100.501.075h49,FXM10040SX*75MM,FXM,Ringspann 4867.100.501.075h49 FXM10040SX*75MM INTERNAL BACKSTOP
2931184,4867.100.501.055h43,FXM10040SX*55MM,FXM,Ringspann 4867.100.501.055h43 FXM10040SX*55MM INTERNAL BACKSTOP
2931183,4867.100.501.050h38,FXM10040SX*50MM,FXM,Ringspann 4867.100.501.050h38 FXM10040SX*50MM INTERNAL BACKSTOP
2931182,4867.100.501.045h38,FXM10040SX*45MM,FXM,Ringspann 4867.100.501.045h38 FXM10040SX*45MM INTERNAL BACKSTOP
2931181,4867.086.200.M01056,FXM8625DX*2+34,FXM,Ringspann 4867.086.200.M01056 FXM8625DX*2+34 INTERNAL BACKSTOP
2931180,4867.086.200.065h44,FXM8625DX*65MM,FXM,Ringspann 4867.086.200.065h44 FXM8625DX*65MM INTERNAL BACKSTOP
2931179,4867.086.200.055h43,FXM8625DX*55MM,FXM,Ringspann 4867.086.200.055h43 FXM8625DX*55MM INTERNAL BACKSTOP
2931178,4867.086.200.050h38,FXM8625DX*50MM,FXM,Ringspann 4867.086.200.050h38 FXM8625DX*50MM INTERNAL BACKSTOP
2931177,4867.086.200.040h33,FXM8625DX*40MM,FXM,Ringspann 4867.086.200.040h33 FXM8625DX*40MM INTERNAL BACKSTOP
2931176,4867.085.501.M00745,FXM8540SX*2+12,FXM,Ringspann 4867.085.501.M00745 FXM8540SX*2+12 INTERNAL BACKSTOP
2931175,4867.085.501.065h44,FXM8540SX*65MM,FXM,Ringspann 4867.085.501.065h44 FXM8540SX*65MM INTERNAL BACKSTOP
2931174,4867.085.501.060h44,FXM8540SX*60MM,FXM,Ringspann 4867.085.501.060h44 FXM8540SX*60MM INTERNAL BACKSTOP
2931173,4867.085.501.050h38,FXM8540SX*50MM,FXM,Ringspann 4867.085.501.050h38 FXM8540SX*50MM INTERNAL BACKSTOP
2931172,4867.085.501.045h38,FXM8540SX*45MM,FXM,Ringspann 4867.085.501.045h38 FXM8540SX*45MM INTERNAL BACKSTOP
