id,catalog_number,factors
5068391,MM306K,Limiting Speed (Grease):22300 rpm|Limiting Speed (Oil):44600 rpm
5069302,230/850KYMBW906AC3,e - ISO Factor:0.2 |Y0 - ISO Factor:3.37 |Y1 - ISO Factor:5.02 |Y2 - ISO Factor:3.3 |Reference Thermal Speed Rating (Grease):250 |Reference Thermal Speed Rating (Oil):280 |Cg - Geometry Factor:0.1384 
5068842,1932,e - ISO Factor:0.33 |Cg - Geometry Factor:0.0565 
5069308,239/710KYMBW906A,e - ISO Factor:0.16 |Y0 - ISO Factor:4.13 |Y1 - ISO Factor:6.15 |Y2 - ISO Factor:4.04 |Reference Thermal Speed Rating (Grease):330 |Reference Thermal Speed Rating (Oil):380 |Cg - Geometry Factor:0.1285 
5069307,23292YMBW507C08C3,e - ISO Factor:0.34 |Y0 - ISO Factor:1.96 |Y1 - ISO Factor:2.93 |Y2 - ISO Factor:1.92 |Reference Thermal Speed Rating (Grease):290 |Reference Thermal Speed Rating (Oil):310 |Cg - Geometry Factor:0.1033 
5069309,239/710KYMBW906AC3,e - ISO Factor:0.16 |Y0 - ISO Factor:4.13 |Y1 - ISO Factor:6.15 |Y2 - ISO Factor:4.04 |Reference Thermal Speed Rating (Grease):330 |Reference Thermal Speed Rating (Oil):380 |Cg - Geometry Factor:0.1285 
5069305,231/500KYMBW906A,e - ISO Factor:0.3 |Y0 - ISO Factor:2.22 |Y1 - ISO Factor:3.3 |Y2 - ISO Factor:2.17 |Reference Thermal Speed Rating (Grease):330 |Reference Thermal Speed Rating (Oil):360 |Cg - Geometry Factor:0.1073 
5069330,230/530YMBW509C08,e - ISO Factor:0.21 |Y0 - ISO Factor:3.14 |Y1 - ISO Factor:4.68 |Y2 - ISO Factor:3.07 |Reference Thermal Speed Rating (Grease):460 |Reference Thermal Speed Rating (Oil):530 |Cg - Geometry Factor:0.1083 
5069461,211K,Limiting Speed (Grease):3870 rpm|Limiting Speed (Oil):4520 rpm
5069467,212K,Limiting Speed (Grease):3530 rpm|Limiting Speed (Oil):4120 rpm
5069660,2MM210WI,Limiting Speed (Grease):16000 rpm|Limiting Speed (Oil):32000 rpm
5069681,3MM9111WI,Limiting Speed (Grease):13300 rpm|Limiting Speed (Oil):26600 rpm
5069673,2MM9111WI,Limiting Speed (Grease):14700 rpm|Limiting Speed (Oil):29400 rpm
5069732,2MM307WI,Limiting Speed (Grease):19200 rpm|Limiting Speed (Oil):38400 rpm
5069738,2MM308WI,Limiting Speed (Grease):16900 rpm|Limiting Speed (Oil):33800 rpm
5069737,MM308K,Limiting Speed (Grease):17100 rpm|Limiting Speed (Oil):34200 rpm
5069653,2MM9105WI,Limiting Speed (Grease):30900 rpm|Limiting Speed (Oil):61800 rpm
5069742,2MM309WI,Limiting Speed (Grease):15100 rpm|Limiting Speed (Oil):30200 rpm
5070823,23084YMBW25W507C08C3,e - ISO Factor:0.22 |Y0 - ISO Factor:3.05 |Y1 - ISO Factor:4.54 |Y2 - ISO Factor:2.98 |Reference Thermal Speed Rating (Grease):620 |Reference Thermal Speed Rating (Oil):720 |Cg - Geometry Factor:0.0935 
5069776,215W,Limiting Speed (Grease):2440 rpm|Limiting Speed (Oil):2930 rpm
5069744,MM310K,Limiting Speed (Grease):13800 rpm|Limiting Speed (Oil):27600 rpm
5069741,MM309K,Limiting Speed (Grease):15200 rpm|Limiting Speed (Oil):30400 rpm
5070935,23184KYMBW507C08C3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.21 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.16 |Reference Thermal Speed Rating (Grease):440 |Reference Thermal Speed Rating (Oil):480 |Cg - Geometry Factor:0.0957 
5070937,23184KYMBW906AC3,e - ISO Factor:0.31 |Y0 - ISO Factor:2.21 |Y1 - ISO Factor:3.2 |Y2 - ISO Factor:2.16 |Reference Thermal Speed Rating (Grease):440 |Reference Thermal Speed Rating (Oil):480 |Cg - Geometry Factor:0.0957 
5070907,239/750YMBW509C08C3,e - ISO Factor:0.16 |Y0 - ISO Factor:4.23 |Y1 - ISO Factor:6.3 |Y2 - ISO Factor:4.14 |Reference Thermal Speed Rating (Grease):310 |Reference Thermal Speed Rating (Oil):350 |Cg - Geometry Factor:0.1329 
