id,catalog_number,specifications
5059799,RA012RRB,Bore Size d:3/4 in 19.1 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.220 in 31 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5059775,GRAE50RRB,Bore Size d:1.969 in 50 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.175 in 4.44 mm|Dimension B1:1.720 in 43.7 mm|Dimension B2:0.720 in 18.3 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRAE..RRB 
5059653,GYE70KRRB,Bore Size d:2.756 in 70 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.200 in 5.08 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:GYE..KRRB 
5059820,RA203RRB,Bore Size d:2 3/16 in 55.6 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.906 in 48.4 mm|Dimension B2:0.811 in 20.6 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5059650,GY1211KRRB,Bore Size d:2 11/16 in 68.3 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.200 in 5.08 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:GY…KRRB 
5059817,GRA203RRB,Bore Size d:2 3/16 in 55.6 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.193 in 4.9 mm|Dimension B1:1.906 in 48.4 mm|Dimension B2:0.811 in 20.6 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5059801,GE30KPPB3,"Bore Size d:1.181 in 30 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.165 in 4.19 mm|Dimension B1:1.906 in 48.4 mm|Dimension B2:0.626 in 15.9 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:GE..KPPB,2,3,4 "
5059810,G1207KRRB,Bore Size d:2 7/16 in 61.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.202 in 5.13 mm|Dimension B1:3.063 in 77.8 mm|Dimension B2:0.874 in 22.2 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:G1…KRRB 
5059843,YA100RRB,Bore Size d:1 in 25.4 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:YA..RRB 
5059815,GN203KLLB,Bore Size d:2 3/16 in 55.6 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Labyrinth Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.216 in 5.49 mm|Dimension B1:2.874 in 73 mm|Dimension B2:0.874 in 22.2 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GN..KLLB 
5059829,RA100RRB,Bore Size d:1 in 25.4 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.220 in 31 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5059831,294/560EM,UPC Code:87796014541 |Weight:744.1 Kg 1640.4 lb
5059839,YA010RRB,Bore Size d:5/8 in 15.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:YA..RRB 
5059850,GRA200RRB,Bore Size d:2 in 50.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.193 in 4.9 mm|Dimension B1:1.906 in 48.4 mm|Dimension B2:0.811 in 20.6 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRA..RRB 
5059845,RA101RRB,Bore Size d:1 1/16 in 27 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.406 in 35.7 mm|Dimension B2:0.626 in 15.9 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
5059865,RAE35RRB,Bore Size d:1.378 in 35 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.531 in 38.9 mm|Dimension B2:0.673 in 17.1 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RAE..RRB 
5059644,GYM1207KRRB,Bore Size d:2 7/16 in 61.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.200 in 5.08 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GYM..KRRB 
5059807,1207KRRB,Bore Size d:2 7/16 in 61.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:3.063 in 77.8 mm|Dimension B2:0.874 in 22.2 mm|Series:Industrial |Weight:0.5 lb 0.2 Kg|Sub Series:1..KRRB 
5059840,GRAE17RRB,Bore Size d:0.669 in 17 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.107 in 2.72 mm|Dimension B1:1.126 in 28.6 mm|Dimension B2:0.531 in 13.5 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GRAE..RRB 
5059686,GYA115RRB2,Bore Size d:2 in 50.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Narrow Shroud |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.175 in 4.44 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:GYA..RRB 
5059849,GN200KRRB,Bore Size d:2 in 50.8 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Shroud Seal |Material:Bearing Steel |Lubrication Type:Relubricatable |O.D. Type:Spherical OD |Dimension M:0.216 in 5.49 mm|Dimension B1:2.874 in 73 mm|Dimension B2:0.874 in 22.2 mm|Series:Medium-Duty |Weight:0.5 lb 0.2 Kg|Sub Series:GN..KRRB 
5059848,RA106RRB,Bore Size d:1 3/8 in 34.9 mm|Bore Type:Cylindrical bore |Bearing Type:Ball Bearing |Seal Type:Molded Shroud |Material:Bearing Steel |Lubrication Type:Non-Relubricatable |O.D. Type:Spherical OD |Dimension B1:1.531 in 38.9 mm|Dimension B2:0.673 in 17.1 mm|Series:Standard |Weight:0.5 lb 0.2 Kg|Sub Series:RA..RRB 
