id,catalog_number,basic_load_ratings
5060747,2MM202WI,C0 - Static Radial Rating:4500 N 1010 lbf|Ce - Dynamic Radial Rating:9580 N 2200 lbf
5059841,GYE17KRRB,Static Load Rating:1000 lbf 4400 N|Dynamic Load Rating:2360 lbf 10600 N
5060832,2MM203WI,C0 - Static Radial Rating:5900 N 1320 lbf|Ce - Dynamic Radial Rating:12000 N 2750 lbf
5059818,GYA203RRB,Static Load Rating:6400 lbf 28500 N|Dynamic Load Rating:10800 lbf 48000 N
5060795,2MM9109WI,C0 - Static Radial Rating:19300 N 4330 lbf|Ce - Dynamic Radial Rating:27000 N 6080 lbf
5060862,2MM9124WI,C0 - Static Radial Rating:108500 N 24400 lbf|Ce - Dynamic Radial Rating:111200 N 25000 lbf
5060837,2MM204WI,C0 - Static Radial Rating:8100 N 1810 lbf|Ce - Dynamic Radial Rating:16100 N 3620 lbf
5060816,MM205K,Ce - Dynamic Radial Rating:15500 N 3490 lbf|C0 - Static Radial Rating:7800 N 1760 lbf
5060948,2MM219WI,C0 - Static Radial Rating:112000 N 25000 lbf|Ce - Dynamic Radial Rating:147100 N 33100 lbf
5061084,MM208K,Ce - Dynamic Radial Rating:36200 N 8130 lbf|C0 - Static Radial Rating:20000 N 4500 lbf
5060860,MM9124K,Ce - Dynamic Radial Rating:86300 N 19400 lbf|C0 - Static Radial Rating:72500 N 16300 lbf
5060945,MM207K,Ce - Dynamic Radial Rating:28500 N 6400 lbf|C0 - Static Radial Rating:15300 N 3450 lbf
5060890,3MM205WI,C0 - Static Radial Rating:9800 N 2200 lbf|Ce - Dynamic Radial Rating:17600 N 3950 lbf
5060886,2MM205WI,C0 - Static Radial Rating:10200 N 2320 lbf|Ce - Dynamic Radial Rating:18400 N 4130 lbf
5059885,GYA012RRB,Static Load Rating:1400 lbf 6200 N|Dynamic Load Rating:3200 lbf 14300 N
5061130,2MM9316WI,C0 - Static Radial Rating:32700 N 7350 lbf|Ce - Dynamic Radial Rating:33800 N 7600 lbf
5059851,GYA200RRB,Static Load Rating:6400 lbf 28500 N|Dynamic Load Rating:10800 lbf 48000 N
5061134,MM209K,Ce - Dynamic Radial Rating:36300 N 8160 lbf|C0 - Static Radial Rating:20200 N 4550 lbf
5060817,MM206K,Ce - Dynamic Radial Rating:21600 N 4850 lbf|C0 - Static Radial Rating:11300 N 2550 lbf
5061158,2MM208WI,C0 - Static Radial Rating:23800 N 5340 lbf|Ce - Dynamic Radial Rating:40400 N 9070 lbf
5059864,GYAE35RRB,Static Load Rating:3400 lbf 15100 N|Dynamic Load Rating:6400 lbf 28500 N
5061149,7406W,C0 - Static Radial Rating:35500 N 8000 lbf|Ce - Dynamic Radial Rating:69000 N 15600 lbf
5061104,3MM306WI,C0 - Static Radial Rating:21500 N 4820 lbf|Ce - Dynamic Radial Rating:39900 N 8960 lbf
5061142,7310WN,C0 - Static Radial Rating:47900 N 10800 lbf|Ce - Dynamic Radial Rating:76800 N 17300 lbf
5061071,MM9126K,Ce - Dynamic Radial Rating:112600 N 25300 lbf|C0 - Static Radial Rating:94300 N 21200 lbf
5061174,MM212K,Ce - Dynamic Radial Rating:58200 N 13100 lbf|C0 - Static Radial Rating:36300 N 8150 lbf
5061136,7408W,C0 - Static Radial Rating:56400 N 12700 lbf|Ce - Dynamic Radial Rating:99500 N 22400 lbf
5061183,7207WN,C0 - Static Radial Rating:18000 N 4150 lbf|Ce - Dynamic Radial Rating:30800 N 6950 lbf
5061147,7405W,C0 - Static Radial Rating:25900 N 5850 lbf|Ce - Dynamic Radial Rating:53300 N 12000 lbf
5061199,7210WN,C0 - Static Radial Rating:28400 N 6400 lbf|Ce - Dynamic Radial Rating:42500 N 9500 lbf
5061196,7209WN,C0 - Static Radial Rating:25900 N 5850 lbf|Ce - Dynamic Radial Rating:40500 N 9150 lbf
5061223,5306W,C0 - Static Radial Rating:41000 N 9300 lbf|Ce - Dynamic Radial Rating:62000 N 14000 lbf
5061206,7212WN,C0 - Static Radial Rating:44400 N 10000 lbf|Ce - Dynamic Radial Rating:63000 N 14300 lbf
5061192,7208WN,C0 - Static Radial Rating:23000 N 5200 lbf|Ce - Dynamic Radial Rating:36000 N 8150 lbf
5061135,MM210K,Ce - Dynamic Radial Rating:38900 N 8740 lbf|C0 - Static Radial Rating:23100 N 5200 lbf
5061230,5308K,C0 - Static Radial Rating:46000 N 10400 lbf|Ce - Dynamic Radial Rating:72400 N 16300 lbf
5061150,7407W,C0 - Static Radial Rating:42800 N 9650 lbf|Ce - Dynamic Radial Rating:79900 N 18000 lbf
5061217,5303K,C0 - Static Radial Rating:12600 N 2850 lbf|Ce - Dynamic Radial Rating:22600 N 5100 lbf
5061173,MM211K,Ce - Dynamic Radial Rating:48100 N 10800 lbf|C0 - Static Radial Rating:29100 N 6550 lbf
5061219,5305K,C0 - Static Radial Rating:21100 N 4750 lbf|Ce - Dynamic Radial Rating:37700 N 8500 lbf
5061233,7206WN,C0 - Static Radial Rating:13500 N 3050 lbf|Ce - Dynamic Radial Rating:23000 N 5200 lbf
5061203,7211WN,C0 - Static Radial Rating:36200 N 8150 lbf|Ce - Dynamic Radial Rating:52000 N 11800 lbf
5061221,5306K,C0 - Static Radial Rating:29000 N 6550 lbf|Ce - Dynamic Radial Rating:47000 N 10600 lbf
5061246,2MM212WI,C0 - Static Radial Rating:48900 N 11000 lbf|Ce - Dynamic Radial Rating:71000 N 16000 lbf
5061226,5307K,C0 - Static Radial Rating:36000 N 8300 lbf|Ce - Dynamic Radial Rating:59500 N 13400 lbf
5061209,7205WN,C0 - Static Radial Rating:9400 N 2120 lbf|Ce - Dynamic Radial Rating:16600 N 3750 lbf
5061239,7203W,C0 - Static Radial Rating:6930 N 1560 lbf|Ce - Dynamic Radial Rating:14200 N 3200 lbf
5061272,5309K,C0 - Static Radial Rating:56400 N 12700 lbf|Ce - Dynamic Radial Rating:87000 N 19600 lbf
5061282,5405W,C0 - Static Radial Rating:48000 N 10800 lbf|Ce - Dynamic Radial Rating:66700 N 15000 lbf
5061218,5304K,C0 - Static Radial Rating:15300 N 3450 lbf|Ce - Dynamic Radial Rating:28400 N 6400 lbf
5061254,MM214K,Ce - Dynamic Radial Rating:69000 N 15500 lbf|C0 - Static Radial Rating:43600 N 9800 lbf
5061236,7202W,C0 - Static Radial Rating:4700 N 1060 lbf|Ce - Dynamic Radial Rating:10300 N 2320 lbf
5061302,2MM214WI,C0 - Static Radial Rating:60000 N 13400 lbf|Ce - Dynamic Radial Rating:84200 N 18900 lbf
5061315,7307WN,C0 - Static Radial Rating:23900 N 5400 lbf|Ce - Dynamic Radial Rating:41300 N 9300 lbf
5061280,5310W,C0 - Static Radial Rating:97000 N 22000 lbf|Ce - Dynamic Radial Rating:126000 N 28500 lbf
5061278,5310K,C0 - Static Radial Rating:73000 N 16600 lbf|Ce - Dynamic Radial Rating:111000 N 25000 lbf
5061312,7306WN,C0 - Static Radial Rating:20800 N 4650 lbf|Ce - Dynamic Radial Rating:34600 N 7800 lbf
5061269,5308W,C0 - Static Radial Rating:66600 N 15000 lbf|Ce - Dynamic Radial Rating:90600 N 20400 lbf
5061307,7304WN,C0 - Static Radial Rating:9590 N 2160 lbf|Ce - Dynamic Radial Rating:19500 N 4400 lbf
5061330,5311K,C0 - Static Radial Rating:86700 N 19500 lbf|Ce - Dynamic Radial Rating:124400 N 28000 lbf
5061274,5309W,C0 - Static Radial Rating:81000 N 18300 lbf|Ce - Dynamic Radial Rating:106000 N 24000 lbf
5061421,313W,Ce - Dynamic Radial Rating:144000 N 32500 lbf|C0 - Static Radial Rating:96000 N 21600 lbf
5061318,7308WN,C0 - Static Radial Rating:30200 N 6800 lbf|Ce - Dynamic Radial Rating:50600 N 11400 lbf
5061310,7305WN,C0 - Static Radial Rating:13300 N 3000 lbf|Ce - Dynamic Radial Rating:26500 N 5850 lbf
5061434,9115K,Ce - Dynamic Radial Rating:44500 N 10000 lbf|C0 - Static Radial Rating:32700 N 7350 lbf
5061321,7309WN,C0 - Static Radial Rating:39900 N 9000 lbf|Ce - Dynamic Radial Rating:66600 N 15000 lbf
5061424,7330WN MBR,C0 - Static Radial Rating:390000 N 88000 lbf|Ce - Dynamic Radial Rating:368000 N 83000 lbf
5061466,209W,Ce - Dynamic Radial Rating:50000 N 11200 lbf|C0 - Static Radial Rating:31500 N 7100 lbf
5061472,211W,Ce - Dynamic Radial Rating:61000 N 13700 lbf|C0 - Static Radial Rating:40600 N 9150 lbf
5061486,314W,Ce - Dynamic Radial Rating:153000 N 34500 lbf|C0 - Static Radial Rating:101000 N 22800 lbf
5061428,7411PW BR,C0 - Static Radial Rating:71000 N 16000 lbf|Ce - Dynamic Radial Rating:122000 N 27500 lbf
5061471,210W,Ce - Dynamic Radial Rating:52000 N 11800 lbf|C0 - Static Radial Rating:34600 N 7800 lbf
5061228,5307W,C0 - Static Radial Rating:47900 N 10800 lbf|Ce - Dynamic Radial Rating:69200 N 15600 lbf
5061488,315K,Ce - Dynamic Radial Rating:128000 N 29000 lbf|C0 - Static Radial Rating:76800 N 17300 lbf
5061495,5213K,C0 - Static Radial Rating:76800 N 17300 lbf|Ce - Dynamic Radial Rating:101000 N 22800 lbf
5061481,314K,Ce - Dynamic Radial Rating:116000 N 26000 lbf|C0 - Static Radial Rating:67900 N 15300 lbf
5061500,5215K,C0 - Static Radial Rating:85700 N 19300 lbf|Ce - Dynamic Radial Rating:108000 N 24500 lbf
5061503,5217,C0 - Static Radial Rating:177000 N 40000 lbf|Ce - Dynamic Radial Rating:188000 N 42500 lbf
5061497,5214K,C0 - Static Radial Rating:84000 N 19000 lbf|Ce - Dynamic Radial Rating:108000 N 24500 lbf
5061501,5216,C0 - Static Radial Rating:162000 N 36500 lbf|Ce - Dynamic Radial Rating:168000 N 38000 lbf
5061518,9126K,Ce - Dynamic Radial Rating:115600 N 26000 lbf|C0 - Static Radial Rating:90700 N 20400 lbf
5061514,9121K,Ce - Dynamic Radial Rating:76900 N 17600 lbf|C0 - Static Radial Rating:59600 N 13400 lbf
5061547,317K,Ce - Dynamic Radial Rating:151000 N 34000 lbf|C0 - Static Radial Rating:95900 N 21600 lbf
5061478,212W,Ce - Dynamic Radial Rating:78000 N 17600 lbf|C0 - Static Radial Rating:54200 N 12200 lbf
5061460,207W,Ce - Dynamic Radial Rating:40000 N 9000 lbf|C0 - Static Radial Rating:22600 N 5100 lbf
5061490,9117K,Ce - Dynamic Radial Rating:56500 N 12700 lbf|C0 - Static Radial Rating:35600 N 8000 lbf
5061519,9128K,Ce - Dynamic Radial Rating:124500 N 28000 lbf|C0 - Static Radial Rating:105000 N 23600 lbf
5061538,315W,Ce - Dynamic Radial Rating:180000 N 40500 lbf|C0 - Static Radial Rating:127000 N 28500 lbf
5061515,9124K,Ce - Dynamic Radial Rating:88900 N 20000 lbf|C0 - Static Radial Rating:71100 N 16000 lbf
5061594,322W,Ce - Dynamic Radial Rating:302000 N 68000 lbf|C0 - Static Radial Rating:266000 N 60000 lbf
5061582,320K,Ce - Dynamic Radial Rating:195000 N 41500 lbf|C0 - Static Radial Rating:139000 N 31500 lbf
5061584,320W,Ce - Dynamic Radial Rating:270000 N 61000 lbf|C0 - Static Radial Rating:226000 N 51000 lbf
5061579,318K,Ce - Dynamic Radial Rating:162000 N 36500 lbf|C0 - Static Radial Rating:106000 N 24000 lbf
5061544,316W,Ce - Dynamic Radial Rating:195000 N 44000 lbf|C0 - Static Radial Rating:142000 N 32000 lbf
5061578,317W,Ce - Dynamic Radial Rating:211000 N 47500 lbf|C0 - Static Radial Rating:157000 N 35500 lbf
5066718,23196KYMBW507C08,C0 - Static Radial Rating:12400000 N 2790000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):7110000 N 1600000 lbf
5061574,120W2,Ce - Dynamic Radial Rating:106000 N 24000 lbf|C0 - Static Radial Rating:75000 N 17000 lbf
5066729,239/670YMBW509C08C3,C0 - Static Radial Rating:11000000 N 2480000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):5100000 N 1150000 lbf
5061581,319W,Ce - Dynamic Radial Rating:239000 N 54000 lbf|C0 - Static Radial Rating:191000 N 43000 lbf
5066728,239/670YMBW509C08,C0 - Static Radial Rating:11000000 N 2480000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):5100000 N 1150000 lbf
5066745,230/850YMBW45W805C6,C0 - Static Radial Rating:23000000 N 5180000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):11100000 N 2500000 lbf
5066739,230/500KYMBW507C08,C0 - Static Radial Rating:8160000 N 1840000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):4290000 N 965000 lbf
5066740,230/500KYMBW507C08C3,C0 - Static Radial Rating:8160000 N 1840000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):4290000 N 965000 lbf
5066742,230/500KYMBW906AC3,C0 - Static Radial Rating:8160000 N 1840000 lbf|C1(2) - Dynamic Radial Rating (Two-Rows):4290000 N 965000 lbf
5066767,240RU91R6,C0 - Static Radial Rating:2650000 N 596000 lbf|C - Dynamic Radial Rating:1570000 N 353000 lbf
5066921,TCJ1 3/16,Static Load Rating:1730 lbf 7700 N|Dynamic Load Rating:15800 lbf 3550 N
5066917,SCJ1 3/16,Static Load Rating:2500 lbf 11100 N|Dynamic Load Rating:4900 lbf 21800 N
5066890,209K,Ce - Dynamic Radial Rating:36300 N 8160 lbf|C0 - Static Radial Rating:20500 N 4600 lbf
5066946,RCJ2 3/16,Static Load Rating:6400 lbf 28500 N|Dynamic Load Rating:48000 lbf 10800 N
