id,catalog_number,abutment_and_fillet_dimensions
5061199,7210WN,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.043 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.043 in|da - Inner Ring Backing Diameter:54.100 mm 2.130 in|Da - Outer Ring Backing Diameter:83.100 mm 3.270 in"
5061196,7209WN,"R - Inner Ring ""To Clear"" Radius:1.100 mm 0.043 in|r - Outer Ring ""To Clear"" Radius:1.100 mm 0.043 in|da - Inner Ring Backing Diameter:49.300 mm 1.940 in|Da - Outer Ring Backing Diameter:78.000 mm 3.070 in"
5061223,5306W,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:36.800 mm 1.450 in|Da - Outer Ring Backing Diameter:63.500 mm 2.500 in"
5061206,7212WN,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:67.800 mm 2.670 in|Da - Outer Ring Backing Diameter:101.100 mm 3.980 in"
5061192,7208WN,"R - Inner Ring ""To Clear"" Radius:1.100 mm 0.043 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.043 in|da - Inner Ring Backing Diameter:43.900 mm 1.730 in|Da - Outer Ring Backing Diameter:72.900 mm 2.870 in"
5061135,MM210K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:57.400 mm 2.260 in|Da - Outer Ring Backing Diameter:83.300 mm 3.280 in"
5061230,5308K,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:49.911 mm 1.965 in|Da - Outer Ring Backing Diameter:79.375 mm 3.125 in"
5061150,7407W,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:43.900 mm 1.730 in|Da - Outer Ring Backing Diameter:90.900 mm 3.580 in"
5061217,5303K,"R - Inner Ring ""To Clear"" Radius:1.000 mm 0.039 in|r - Outer Ring ""To Clear"" Radius:1.000 mm 0.039 in|da - Inner Ring Backing Diameter:22.100 mm 0.870 in|Da - Outer Ring Backing Diameter:40.770 mm 1.605 in"
5061173,MM211K,"R - Inner Ring ""To Clear"" Radius:1.500 mm 0.059 in|r - Outer Ring ""To Clear"" Radius:1.500 mm 0.059 in|da - Inner Ring Backing Diameter:63.300 mm 2.490 in|Da - Outer Ring Backing Diameter:92.200 mm 3.630 in"
