id;catalog_number;attr
154962;4912072;nan
154999;4940002;nan
817634;B0551;nan
154739;NC1007L120.00;nan
818090;T301015;nan
1435810;1032031E;nan
1435850;TTQM1426;nan
1435858;TTQM2438;nan
1435862;TTQM3250;nan
1435874;4940092;nan
1435878;4940099;nan
1435898;6410056;nan
1435902;6410119;nan
1435926;L04G893MS;nan
1435938;L04R907;nan
1435970;4999030;nan
1435982;L04G8914M;nan
1436018;6202840UP;nan
1436022;6202860UP;nan
1436030;L02A5N;nan
1436034;4927004;nan
1436042;4928002;nan
1436046;4928006;nan
1436050;4928010;nan
1436054;6202220UP;nan
1436062;6202520UP;nan
1436066;4941100;nan
1436078;6202564UP;nan
1436082;6202574UP;nan
1436086;6202592UP;nan
1436090;6202910UP;nan
1436102;B171240;nan
1436130;L04BL8585M;nan
1436134;L04BL85C;nan
1436154;L04G89B;nan
1436051;6202140UP;nan
1436187;L04OG858M;nan
153737;CS5004;nan
153769;63SD0150;nan
153785;63SF0212;nan
153805;63SK0137;nan
153821;BC0001;nan
153825;BC1000;nan
153829;CB0004;nan
153845;SB0003;nan
153857;SB0090;nan
153865;TLK110114;nan
153901;TLK1102534;nan
153913;TLK1104053;nan
153953;TLK1321716;nan
153985;TLK1323560;nan
154017;TLK133112;nan
154121;TLK20021516;nan
154181;TLK200778;nan
154353;TLK45080120;nan
154381;HR1506;nan
154389;F3B6280AL;nan
154393;FA2002;nan
154397;FA2501;nan
154401;FA2900;nan
154405;FA3251;nan
154413;FA4502;nan
154422;RA2540;nan
154426;RA3501;nan
154430;RA4101;nan
154442;V3B6280;nan
154454;VA6250;nan
154466;6202107;nan
154470;6202114;nan
154474;6202140;nan
154482;6202300;nan
154486;6202380;nan
154490;6202460;nan
154494;6202540;nan
154498;6202566;nan
154502;6202574;nan
154510;6202594;nan
154514;6202650;nan
154526;6202800;nan
154534;6202825;nan
154542;6202865;nan
154546;6202885;nan
154554;6940400;nan
154582;CT1204;nan
154586;CT1401;nan
154590;CT2103;nan
154594;CT2202;nan
154598;CT2401;nan
154602;CT3102-H;nan
154606;CT3202;nan
154610;DPA2040L120.00;nan
154642;GB1003-5G120.00;nan
154650;GB2003-5G120.00;nan
154654;GC1025-3G120.00;nan
154658;GC1060-5G120.00;nan
154678;GC3640-5G120.00;nan
154686;GR1001-3G120.00;nan
154694;GR2001-3G120.00;nan
154702;GS1080-1G120.00;nan
154710;LT1002;nan
154718;LX0004;nan
154730;MC0006;nan
154746;NC1081L120.00;nan
154762;NC2080L120.00;nan
154774;RA1850;nan
154778;RT1001-H;nan
154782;RT1601-L;nan
154790;5700153;nan
154810;5700330;nan
154814;5700360;nan
154818;5700390;nan
154822;5700430;nan
154826;5700460;nan
154830;5700476;nan
154834;5800500;nan
154838;5810300;nan
154842;6202990020;nan
154862;1032003;nan
154878;1032040;nan
154894;1032146;nan
154898;1032160;nan
154906;4816020;nan
154910;4905303;nan
154918;4905315;nan
154942;4911064;nan
154954;4912063;nan
154970;4920100;nan
154978;4930102;nan
154986;4934023;nan
154990;4934030;nan
154995;4935024;nan
155003;4940006;nan
155019;4940023;nan
155023;4940027;nan
155039;4940059;nan
155047;4940067;nan
155059;4999315;nan
155067;5050009;nan
155087;5260300;nan
155099;5260577;nan
155107;0202004;nan
155111;0302050;nan
155124;0408010;nan
155128;0408070;nan
155136;0410105;nan
155144;4051060;nan
155148;4081060;nan
1436158;L04G89CRXH;nan
1436162;L04I85B;nan
1436166;L04I85CR;nan
1436198;L04CON8S;nan
1436222;L04G89BX;nan
1436230;L04OG8512R;nan
817528;0408600;nan
817532;0435100;nan
817536;04151079;nan
817540;04090502M;nan
817544;493050030M;nan
817548;493130030M;nan
817560;L01Z5;nan
817565;L02Z20N;nan
817573;L04G89BSG;nan
817577;L04OP803M;nan
817581;L04R90ASG;nan
817586;0408505;nan
817590;0435101;nan
817594;4899012;nan
817606;5700367;nan
817610;5700542;nan
817614;5700603;nan
817618;5700608;nan
817626;0418050SL;nan
817630;B0301;nan
817638;B0683;nan
817646;B1003;nan
817654;B121055;nan
817662;B121120;nan
817666;B121160;nan
817674;B122107;nan
817694;B122306;nan
817710;B1251;nan
817718;B151150;nan
817722;B151190;nan
817730;B152407;nan
817738;B2001;nan
817742;B2601;nan
817746;B301040;nan
817750;B301070;nan
817758;B302103;nan
817790;B401065;nan
817798;B401120;nan
817802;B401170;nan
817806;B401220;nan
817818;B402112;nan
817822;B402202;nan
817830;B402300;nan
817838;B402415;nan
817862;B601170;nan
817866;B602014;nan
817882;B602206;nan
817886;B602214;nan
817890;B602307;nan
817906;B801022;nan
817910;B801032;nan
817918;B802010;nan
817938;B902106;nan
817950;DPC2080L120.00;nan
817966;H0503;nan
817970;H1252;nan
817974;H1553;nan
817978;H1752;nan
817982;H1951;nan
817986;H2003;nan
817994;H2803;nan
817998;H3201;nan
818002;L04CON6S;nan
154735;NC1003L120.00;nan
154743;NC1050L120.00;nan
154755;NC2003L120.00;nan
154763;NC3525L120.00;nan
154771;NC3640L120.00;nan
818054;T121280;nan
818062;T122404;nan
818066;T122512;nan
818070;T122707;nan
818082;T151280;nan
818086;T152415;nan
818094;T301022;nan
818118;T301300;nan
818126;T302206;nan
818130;T302214;nan
818154;T401320;nan
818162;T402212;nan
818166;T402314;nan
818182;T601032;nan
818194;T601220;nan
818202;T602010;nan
818214;T602800;nan
818222;T8045;nan
818226;T8060;nan
818230;T8080;nan
818234;T8110;nan
818254;T82307;nan
818270;T901025;nan
818274;T901035;nan
818278;T902010;nan
