id,catalog_number,dxf
2208050,A5825 ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
2208010,SD14050 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14005 OXP.dxf
2208046,5630 EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
2208026,5430 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773726,5625OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
2208058,A5806 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X06 OXP TW.dxf
2208002,SD13050 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.dxf
2208090,DP7400 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
2208098,DP7650 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.dxf
2208062,RT406-OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.dxf
2208142,FF9600 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_FF9500 OLPBW.dxf
2208134,FD9350 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208230,H16000 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
2208138,FE9350 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208238,HS18000 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .dxf
2208106,81100 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.dxf
2208250,5635 OLSSW5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773831,D9399OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9305 OLPBW.dxf
2208182,E9175 OHPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208190,E9350 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2793435,EA32112 L12D,https://mro-host.herokuapp.com/file_download/?name=reelcraft_EA38112 M12D HOSE REEL ASSY.dxf
2208242,5600 OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.dxf
773762,7670OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OLP TW.dxf
2208222,7800 OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 SERIES OLP TW.dxf
2793423,CA33112 L,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X112 X.dxf
2793479,L 4050 163 8,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.dxf
2793447,L 4545 123 3B,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.dxf
2208004,SD14000 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14000 OXP.dxf
2208008,SD14035 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14000 OXP.dxf
2793403,TH9265 OMPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.dxf
2208040,5400 ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.dxf
