id,catalog_number,attributes
2793408,LC607 OLS,"Part Number:LC607 OLS|Series:LC|Weight (lbs):35|Hose I.D. (in):3/8""|Hose O.D. (in):.600|Hose Length (ft):70|Pressure (psi):300|Hose End (in): |Inlet (in):1/4 NPT(F)|Reel Outlet (in):1/4 NPT(F)|Hose Included:No|Max Temperature (F):150 |Warehouse:IN|UPC:699567012917"
2793557,S13-260044,Part Number:S13-260044|Hose Type:Grease|Weight (lbs):9.7 |Hose I.D. (in):3/8|Hose O.D. (in):0.730 |Hose Length (ft):25|Pressure (psi):4800|End Fitting:1/4 NPT(M) |End Fitting:1/4 NPT(M) |Max Temperature (F):210 
2793561,S26-260044,Part Number:S26-260044|Hose Type:Grease|Weight (lbs):12.4|Hose I.D. (in):3/8|Hose O.D. (in):0.730 |Hose Length (ft):35|Pressure (psi):4800|End Fitting:3/8 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
2793420,CA32128 L,"Part Number:CA32128 L |Series:30000|Weight (lbs):69|Hose I.D. (in):1/2""|Hose O.D. (in):.750|Hose Length (ft):500|Pressure (psi):1000|Hose End (in): |Inlet (in):1/2 NPT(F)|Reel Outlet (in):1/2 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse: |UPC:699567002147"
2793509,S601026-30,Part Number:S601026-30|Hose Type:Air/Water |Weight (lbs):9 |Hose I.D. (in):3/4|Hose O.D. (in):1.075 |Hose Length (ft):30|Pressure (psi):250|End Fitting:3/4 NPT(M) |End Fitting:3/4 NPT(M) |Max Temperature (F):150 
2793529,S20-260043,Part Number:S20-260043|Hose Type:Oil |Weight (lbs):4.7 |Hose I.D. (in):1/4|Hose O.D. (in):0.530 |Hose Length (ft):30|Pressure (psi):2750|End Fitting:1/4 NPT(M) |End Fitting:3/8 NPT(M) |Max Temperature (F):210 
2793537,S4-260043,Part Number:S4-260043|Hose Type:Oil |Weight (lbs):9.6 |Hose I.D. (in):3/8|Hose O.D. (in):0.710 |Hose Length (ft):40|Pressure (psi):2250|End Fitting:3/8 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):210 
2793565,S19-260044,Part Number:S19-260044|Hose Type:Grease|Weight (lbs):20.9|Hose I.D. (in):3/8|Hose O.D. (in):0.730 |Hose Length (ft):50|Pressure (psi):4800|End Fitting:3/8 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):210 
2793436,EA33112 M24D,"Part Number:EA33112 M24D|Series:30000|Weight (lbs):71|Hose I.D. (in):3/4""|Hose O.D. (in):1.188 |Hose Length (ft):100|Pressure (psi):3000|Hose End (in): |Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse: |UPC:699567005346"
2793424,CA33112 M,"Part Number:CA33112 M |Series:30000|Weight (lbs):47|Hose I.D. (in):3/4""|Hose O.D. (in):1.188 |Hose Length (ft):100|Pressure (psi):3000|Hose End (in): |Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse: |UPC:699567002185"
2793432,AA33106 L4A,"Part Number:AA33106 L4A |Series:30000|Weight (lbs):59|Hose I.D. (in):3/4""|Hose O.D. (in):1.075 |Hose Length (ft):50|Pressure (psi):1000 |Hose End (in): |Inlet (in):3/4 NPT(F)|Reel Outlet (in):3/4 NPT(F)|Hose Included:No|Max Temperature (F):250 |Warehouse: |UPC:699567002925"
2793440,EB37128 L12D,"Part Number:EB37128 L12D|Series:37000|Weight (lbs):76|Hose I.D. (in):1""|Hose O.D. (in):1.375 |Hose Length (ft):150|Pressure (psi):300|Hose End (in): |Inlet (in):1 NPT(F)|Reel Outlet (in):1 NPT(M)|Hose Included:No|Max Temperature (F):250 |Warehouse: |UPC:699567020783"
2793476,L 4050 A 163 5,Part Number:L 4050 A 163 5|Series:L4000|Weight (lbs):28|Cord Ending:Incandescent Light|AWG:16|Cord/Cable Length (ft):50|Volts:125|Amps:13 |Conductors:3|Cord/Cable Included:Yes|Type:SJEOOW |Warehouse: |UPC:699567002321
2793472,L 4050 163 1,"Part Number:L 4050 163 1|Series:L4000|Weight (lbs):27|Cord Ending:Incandescent Light|AWG:16|Cord/Cable Length (ft):50|Volts:125|Amps:10|Conductors:2|Cord/Cable Included:Yes|Type:SJTOW|Warehouse:CA, CN|UPC:699567000341"
2793460,L 5750 103 X,Part Number:L 5750 103 X|Series:L5700|Weight (lbs):55|Cord Ending:Flying Lead|AWG:10|Cord/Cable Length (ft):50|Volts:125|Amps:30|Conductors:3|Cord/Cable Included:Yes|Type:SEOOW|Warehouse: |UPC:699567007203
2793480,L 4035 163 10,Part Number:L 4035 163 10 |Series:L4000|Weight (lbs):26|Cord Ending:LED Light|AWG:16|Cord/Cable Length (ft):35|Volts:125|Amps:13 |Conductors:3|Cord/Cable Included:Yes|Type:SJTOW|Warehouse: |UPC:699567008767
2793545,S7-260043,Part Number:S7-260043|Hose Type:Oil |Weight (lbs):11.7|Hose I.D. (in):1/2|Hose O.D. (in):0.850 |Hose Length (ft):40|Pressure (psi):3250|End Fitting:1/2 NPT(M) |End Fitting:1/2 NPT(M) |Max Temperature (F):210 
2793464,L 4100,Part Number:L 4100|Series:L4000|Weight (lbs):22|Cord Ending:Bare Reel|AWG:16|Cord/Cable Length (ft):50|Volts:125|Amps:10|Conductors:4|Cord/Cable Included:No|Type:SJEOOW |Warehouse: |UPC:699567002215
2793468,L 5500,Part Number:L 5500|Series:L5500|Weight (lbs):35|Cord Ending:Bare Reel|AWG:12|Cord/Cable Length (ft):50|Volts:125|Amps:20 |Conductors:3|Cord/Cable Included:No|Type:SEOOW|Warehouse: |UPC:699567002253
2793521,S600160-4,Part Number:S600160-4|Hose Type:Fuel|Weight (lbs):24.5|Hose I.D. (in):3/4|Hose O.D. (in):1.188 |Hose Length (ft):35|Pressure (psi):50|End Fitting:3/4 NPT(M) |End Fitting:3/4 NPT(M) |Max Temperature (F):150 
2207973,B5450 OLP,"Part Number:B5450 OLP |Series:5000|Weight (lbs):26|Hose I.D. (in):1/4""|Hose O.D. (in):.475|Hose Length (ft):50|Pressure (psi):300|Hose End (in):1/4 NPT(M)|Inlet (in):3/8 NPT(F)|Reel Outlet (in):1/4 NPT(F)|Hose Included:Yes|Max Temperature (F):150 |Warehouse: |UPC:699567009191"
