id,catalog_number,dxf
773603,RT625-OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
773806,FD84000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D84000 TW.igs
773805,FD83000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D83000 TW.igs
773797,81075OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773810,82000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773903,H18000M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
773883,DP7450OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
773887,DP7850OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
773895,DP7400OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
773947,82000OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773891,DP7600OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
773879,DP5800OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
773955,5635ELSSW5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773991,4420OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.igs
773927,TH86000OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH80000 OMP TW.igs
773951,5600OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773728,5635OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773718,5625EHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773710,5400EHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
773722,A5825OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773759,7650OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
773768,7600OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
773772,7800OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
773796,F83050OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773804,83050OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773808,81000OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773901,H16000H,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
773905,H19000M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
773869,DP5400OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
773889,DP7400OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
773953,7800OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
773881,DP5835OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
773873,DP5600OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
2793449,L 5750 103 4,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5700-X .igs
773925,TH86050OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH80000 OMP TW.igs
773949,83000OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773921,THA7600OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH7000 TW.igs
773945,D84000OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D84000 TW.igs
2793405,G 3050,https://mro-host.herokuapp.com/file_download/?name=reelcraft_G3050.igs
2793469,L 5700,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5700-X .igs
773726,5625OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
773812,83000OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
773734,5600OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2793457,L 4050 163 X,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
2207994,SD13000 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.igs
2208002,SD13050 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.igs
2208010,SD14050 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14005 OXP.igs
2208026,5430 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2208062,RT406-OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_RT_2_INCH.igs
2208090,DP7400 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
2208106,81100 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
2208098,DP7650 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
2208058,A5806 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X06 OXP TW.igs
2208046,5630 EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
2208134,FD9350 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208050,A5825 ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
2208142,FF9600 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_FF9500 OLPBW.igs
2208182,E9175 OHPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208238,HS18000 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
2208230,H16000 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
2208222,7800 OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OLP TW.igs
2208138,FE9350 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
773831,D9399OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9305 OLPBW.igs
2208242,5600 OLS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2208250,5635 OLSSW5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2793403,TH9265 OMPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2793423,CA33112 L,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X112 X.igs
2793435,EA32112 L12D,https://mro-host.herokuapp.com/file_download/?name=reelcraft_EA3X112 X12D.igs
2208190,E9350 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2793479,L 4050 163 8,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
2207972,B5435 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2208000,SD13050 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.igs
2793447,L 4545 123 3B,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 4000 SERIES TW.igs
773762,7670OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OLP TW.igs
2208032,5625 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2208004,SD14000 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14000 OXP.igs
2208040,5400 ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
2208036,A5800 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2208020,4600 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_4000 OXP TW.igs
2208258,82000 OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
2208056,A5805 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.igs
2208060,A5835 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_A5X05 OXP TW.igs
2208044,5600 EMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
2208008,SD14035 OVP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD14000 OXP.igs
2208286,TW7450 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SW.igs
2208048,A5800 ELP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
2208282,STW3450 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_strata.igs
2208374,7600 OMS55,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
2208378,D9405 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9305 OLPBW.igs
2208064,7400 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OXP TW.igs
2208294,TW7460 OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SW.igs
2208370,URD9200 OLBBW70,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208136,FD9450 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208124,TW86075 OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW80000 OLPT SW.igs
2208100,DP7800 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
2208140,FE9450 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208092,DP7450 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
2208184,E9200 OMPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208104,81000 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
2208192,E9375 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208116,83050 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
2208224,D9400 OLBBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208188,E9300 OLPBW,https://mro-host.herokuapp.com/file_download/?name=reelcraft_D9300 OLPTW.igs
2208220,5600 OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 OXP TW.igs
2208248,5635 ELSSW5,https://mro-host.herokuapp.com/file_download/?name=reelcraft_5000 EXP TW.igs
2208096,DP7650 OHP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP7000 OXP NARROW.igs
2208216,H18006 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
2208260,83000 OMS,https://mro-host.herokuapp.com/file_download/?name=reelcraft_80000 OXP TW.igs
2208232,H18005 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_H16 18 19000 .igs
2208200,TH86000 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TH80000 OMP TW.igs
2208316,DP5800 OMP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_DP5000 OXP NARROW.igs
2208212,CA38106 M,https://mro-host.herokuapp.com/file_download/?name=reelcraft_CA3X106 X.igs
2208364,UR7850 OLB,https://mro-host.herokuapp.com/file_download/?name=reelcraft_7000 OLP TW.igs
2208292,TW7400 OLPT,https://mro-host.herokuapp.com/file_download/?name=reelcraft_TW7000 SW.igs
2208356,L55501233B,https://mro-host.herokuapp.com/file_download/?name=reelcraft_L 5005 .igs
2208348,FSD13000 OLP,https://mro-host.herokuapp.com/file_download/?name=reelcraft_SD13000 OXP.igs
