dxf,pdf,igs,catalog_number,ids
https://www.reelcraft.com/images/drawings/RT-DXF-1.zip,https://www.reelcraft.com/images/drawings/RT-PDF-2.zip,https://www.reelcraft.com/images/drawings/RT-IGS-3.zip,RT405-OLB,773586
,,,24-260044,773326
https://www.reelcraft.com/images/drawings/RT-DXF-1.zip,https://www.reelcraft.com/images/drawings/RT-PDF-2.zip,https://www.reelcraft.com/images/drawings/RT-IGS-3.zip,RT635-OMP,773606
https://www.reelcraft.com/images/drawings/RT-DXF-1.zip,https://www.reelcraft.com/images/drawings/RT-PDF-2.zip,https://www.reelcraft.com/images/drawings/RT-IGS-3.zip,RT602-OMP,773574
,,,T-1535-123-200,773550
,,,AA33118L4A,773638
,,,EA32118M24D,773650
,,,EA33118M12D,773658
,,,S602133-1,773366
,,,E8600 OHP,2208157
https://www.reelcraft.com/images/drawings/D9300DXF.zip,https://www.reelcraft.com/images/drawings/D9300PDF.zip,https://www.reelcraft.com/images/drawings/D9300IGS.zip,D9100 OHPBW,2208165
https://www.reelcraft.com/images/drawings/D9300DXF.zip,https://www.reelcraft.com/images/drawings/D9300PDF.zip,https://www.reelcraft.com/images/drawings/D9300IGS.zip,E9275 OLPBW,2208185
https://www.reelcraft.com/images/drawings/DP5000-1.zip,https://www.reelcraft.com/images/drawings/DP5000-2.zip,https://www.reelcraft.com/images/drawings/DP5000-3.zip,DP5600 OHP,2208309
,,,39-260043,773258
,,,1-HS1004-3,2208321
https://www.reelcraft.com/images/drawings/RT-DXF-1.zip,https://www.reelcraft.com/images/drawings/RT-PDF-2.zip,https://www.reelcraft.com/images/drawings/RT-IGS-3.zip,RT802-OLB,773590
,,,S600693-1,773354
https://www.reelcraft.com/images/drawings/D9300DXF.zip,https://www.reelcraft.com/images/drawings/D9300PDF.zip,https://www.reelcraft.com/images/drawings/D9300IGS.zip,D9300 OLSBW-S,2208345
,,,32-260043,773562
https://www.reelcraft.com/images/drawings/SREELDXF.zip,https://www.reelcraft.com/images/drawings/SREELPDF.pdf,https://www.reelcraft.com/images/drawings/SREELIGS.zip,SCA3850OLP,773622
https://www.reelcraft.com/images/drawings/G3000DXF.zip,https://www.reelcraft.com/images/drawings/G3000PDF.pdf,https://www.reelcraft.com/images/drawings/G3000IGS.zip,G3050Y,773630
,,,12-260043,773486
https://www.reelcraft.com/images/drawings/L4000DXF.zip,https://www.reelcraft.com/images/drawings/L4000PDF.pdf,https://www.reelcraft.com/images/drawings/L4000IGS.zip,L4035A1635,773409
