id,catalog_number,additional_description
2936190,14MPCC385090,14MPCC-3850-90
2936258,8MPCC220012,8MPCC-2200-12
2936262,8MPCC80021,8MPCC-800-21
2936278,8MPCC440036,8MPCC-4400-36
2936342,14MPCC441037,14MPCC-4410-37
2936402,14MPCC245020,14MPCC-2450-20
2936414,SS0951,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936454,8MPCC179236,8MPCC-1792-36
2936446,L19032MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936498,SS150134,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936510,8MPCC112021,8MPCC-1120-21
2936558,8MPCC104021,8MPCC-1040-21
2936598,14MPCC231037,14MPCC-2310-37
2936626,8MPCC284036,8MPCC-2840-36
2936638,8MPCC304836,8MPCC-3048-36
2936698,14MPCC2380125,14MPCC-2380-125
2936674,SS150112,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936722,8MPCC179212,8MPCC-1792-12
2936718,8MPCC128021,8MPCC-1280-21
2936742,SS100138,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936770,14MPCC99420,14MPCC-994-20
2936778,14MPCC112037,14MPCC-1120-37
2936810,8MPCC100021,8MPCC-1000-21
2936782,14MPCC119068,14MPCC-1190-68
2936818,8MPCC224012,8MPCC-2240-12
2936838,14MPCC126037,14MPCC-1260-37
2936850,8MPCC176036,8MPCC-1760-36
2936950,14MPCC336068,14MPCC-3360-68
2936978,14MPCC189037,14MPCC-1890-37
2936982,L15028MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936990,SS150178,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2937018,14MPCC2800125,14MPCC-2800-125
2937026,8MPCC252036,8MPCC-2520-36
2937030,8MPCC64021,8MPCC-640-21
2937034,14MPCC330420,14MPCC-3304-20
2935471,8MPCC328021,8MPCC-3280-21
2935535,SS10078,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2935523,8MPCC260021,8MPCC-2600-21
2935547,8MPCC328036,8MPCC-3280-36
2935539,8MPCC100012,8MPCC-1000-12
2935543,8MPCC160012,8MPCC-1600-12
2935575,14MPCC161068,14MPCC-1610-68
2935563,14MPCC1890125,14MPCC-1890-125
2935583,14MPCC313690,14MPCC-3136-90
2935599,8MPCC89621,8MPCC-896-21
2935671,8MPCC280021,8MPCC-2800-21
2935699,14MPCC161037,14MPCC-1610-37
2935707,AL05014NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2935779,14MPCC2660125,14MPCC-2660-125
2935771,14MPCC4410125,14MPCC-4410-125
2935807,14MPCC2100125,14MPCC-2100-125
2935847,8MPCC120062,8MPCC-1200-62
2935851,14MPCC994125,14MPCC-994-125
2935839,AL05012NK,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2935915,14MPCC3920125,14MPCC-3920-125
2935955,8MPCC440062,8MPCC-4400-62
2935983,8MPCC360021,8MPCC-3600-21
2935971,8MPCC80062,8MPCC-800-62
2936043,14MPCC392090,14MPCC-3920-90
2936051,SS09578,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936055,8MPCC80036,8MPCC-800-36
2936071,8MPCC64012,8MPCC-640-12
2936143,8MPCC252021,8MPCC-2520-21
2936139,L22548MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936175,8MPCC280012,8MPCC-2800-12
2936179,14MPCC140020,14MPCC-1400-20
2936263,SS095118,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936299,SS10034,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936343,8MPCC160036,8MPCC-1600-36
2936307,8MPCC72036,8MPCC-720-36
2936339,8MPCC72021,8MPCC-720-21
2936379,14MPCC119037,14MPCC-1190-37
2936395,14MPCC336090,14MPCC-3360-90
2936383,SS1501,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936407,14MPCC140037,14MPCC-1400-37
2936415,8MPCC448036,8MPCC-4480-36
2936447,L10015MM,"TB Wood\'s L-Jaw couplings are designed to meet high-quality standards while remaining affordable. Available with four insert materials and three hub materials, L-Jaw couplings are 100% interchangeable with industry-standard designs."
2936455,14MPCC441020,14MPCC-4410-20
2936471,8MPCC122412,8MPCC-1224-12
2936503,8MPCC89662,8MPCC-896-62
2936507,14MPCC280020,14MPCC-2800-20
2936567,8MPCC128012,8MPCC-1280-12
