id,catalog_number,cad
5227027,VLS1P125D2E,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_VLS1P125D2E.dxf
1069799,PJL36000S10,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_PJL36000S10.dxf
5227075,VLSS5005,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_VLSS5005.dxf
1034918,140EHC10500,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_140EHC10500.dxf
1075523,TVS2HWA10X,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_TVS2HWA10X.dxf
1045494,9001KR5RH13,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9001KR5RH13.dxf
1045348,9001KR24GH13,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_9001KR24GH13.dxf
1056951,DTU426,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_DTU426.dxf
1077061,VZ31,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_VZ31.dxf
1399642,XMLG001D73TQ,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_XMLG001D73TQ.dxf
1391274,XCSD3702G13,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_XCSD3702G13.dxf
1060759,H361DSEI,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_H361DSEI.dxf
1057778,EZM11000CBU,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EZM11000CBU.dxf
5221988,XCSE73117,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_XCSE73117.dxf
1058240,EZMT113225,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EZMT113225.dxf
1062278,HU268R,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_HU268R.dxf
1064642,LC1F630U7,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_LC1F630U7.dxf
1061228,HCP50866,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_HCP50866.dxf
1039322,8501NR34,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_8501NR34.dxf
5226169,XB6EDW4B2P,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_XB6EDW4B2P.dxf
1071084,QO260NATR,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_QO260NATR.dxf
1067793,MPR64200,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_MPR64200.dxf
1053916,ABE7ACC02,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_ABE7ACC02.dxf
1058129,EZML114225,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_EZML114225.dxf
1072323,RC816F200C,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_RC816F200C.dxf
1064129,LC1D18LE7,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_LC1D18LE7.dxf
5223597,8536SCO3V08H30,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_8536SCO3V08H30.dxf
5229138,HOM2040M100PRB,https://mro-host.herokuapp.com/file_download/?name=schneiderdxf_HOM2040M100PRB.dxf
