"id","catalog_number","description"
"2180995","NNU4924SK.M.SP","FAG NNU4924SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180994","NNU4924S.M.SP","FAG NNU4924S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180993","NNU4922SK.M.SP","FAG NNU4922SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180991","NNU4921SK.M.SP","FAG NNU4921SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180990","NNU4921S.M.SP","FAG NNU4921S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180989","NNU4920SK.M.SP","FAG NNU4920SK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180988","NNU4920S.M.SP","FAG NNU4920S.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180987","NN3072ASK.M.SP","FAG NN3072ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180986","NN3040ASK.M.SP","FAG NN3040ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180985","NN3038ASK.M.SP","FAG NN3038ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180984","NN3036ASK.M.SP","FAG NN3036ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180983","NN3034ASK.M.SP","FAG NN3034ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180982","NN3032ASK.M.SP","FAG NN3032ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180981","NN3030ASK.M.SP","FAG NN3030ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180980","NN3030AS.M.SP","FAG NN3030AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180979","NN3028ASK.M.SP","FAG NN3028ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180978","NN3028AS.M.SP","FAG NN3028AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180977","NN3026ASK.M.SP","FAG NN3026ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180976","NN3026AS.M.SP","FAG NN3026AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180975","NN3024ASK.M.SP","FAG NN3024ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180974","NN3022ASK.M.SP","FAG NN3022ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180973","NN3022AS.M.SP","FAG NN3022AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180972","NN3021ASK.M.SP","FAG NN3021ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180971","NN3021AS.M.SP","FAG NN3021AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180970","NN3020ASK.M.SP","FAG NN3020ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180969","NN3020AS.M.SP","FAG NN3020AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180968","NN3019ASK.M.SP","FAG NN3019ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180967","NN3018ASK.M.SP","FAG NN3018ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180966","NN3018AS.M.SP","FAG NN3018AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180965","NN3017ASK.M.SP","FAG NN3017ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180964","NN3016ASK.M.SP","FAG NN3016ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180963","NN3016AS.M.SP","FAG NN3016AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180962","NN3015ASK.M.SP","FAG NN3015ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180961","NN3015AS.M.SP","FAG NN3015AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180960","NN3014ASK.M.SP","FAG NN3014ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180959","NN3014AS.M.SP","FAG NN3014AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180958","NN3013ASK.M.SP","FAG NN3013ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180957","NN3013AS.M.SP","FAG NN3013AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180956","NN3012ASK.M.SP","FAG NN3012ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180955","NN3012AS.M.SP","FAG NN3012AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180954","NN3011ASK.M.SP","FAG NN3011ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180953","NN3011AS.M.SP","FAG NN3011AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180952","NN3010ASK.M.SP","FAG NN3010ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180951","NN3010AS.M.SP","FAG NN3010AS.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
"2180950","NN3009ASK.M.SP","FAG NN3009ASK.M.SP SUPER PRECISION CYLINDRICAL ROLLER"
