catalog_number,industry_crossover_numbers,id
20292,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0502</td>
    </tr>

        <tr>
        <td>1269x5</td>
    </tr>

        <tr>
        <td>1269X5X4</td>
    </tr>

        <tr>
        <td>169P-5-2</td>
    </tr>

        <tr>
        <td>169P-5-5</td>
    </tr>

        <tr>
        <td>269-P-05x02</td>
    </tr>

        <tr>
        <td>269P05X02</td>
    </tr>

        <tr>
        <td>269PF-5A</td>
    </tr>

        <tr>
        <td>69PF-5-2</td>
    </tr>

        <tr>
        <td>F269-5-2</td>
    </tr>

        <tr>
        <td>MP69-52</td>
    </tr>

        <tr>
        <td>PG69D</td>
    </tr>

    </table>",2530517
20290,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0404</td>
    </tr>

        <tr>
        <td>1269x4x4</td>
    </tr>

        <tr>
        <td>169P-4-4</td>
    </tr>

        <tr>
        <td>269-P-04x04</td>
    </tr>

        <tr>
        <td>269P04X04</td>
    </tr>

        <tr>
        <td>269PF-4B</td>
    </tr>

        <tr>
        <td>69PF-4-4</td>
    </tr>

        <tr>
        <td>F269-4-4</td>
    </tr>

        <tr>
        <td>MP69-42</td>
    </tr>

        <tr>
        <td>PG69CC</td>
    </tr>

    </table>",2530515
20291,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0406</td>
    </tr>

        <tr>
        <td>1269x4x6</td>
    </tr>

        <tr>
        <td>1269X5</td>
    </tr>

        <tr>
        <td>169P-4-6</td>
    </tr>

        <tr>
        <td>269-P-04x06</td>
    </tr>

        <tr>
        <td>269P04X06</td>
    </tr>

        <tr>
        <td>269PF-4C</td>
    </tr>

        <tr>
        <td>69PF-4-6</td>
    </tr>

        <tr>
        <td>F269-4-6</td>
    </tr>

        <tr>
        <td>MP69-46</td>
    </tr>

        <tr>
        <td>PG69CE</td>
    </tr>

    </table>",2530516
20289,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0402</td>
    </tr>

        <tr>
        <td>1269x4</td>
    </tr>

        <tr>
        <td>169P-4-2</td>
    </tr>

        <tr>
        <td>269-P-04x02</td>
    </tr>

        <tr>
        <td>269P04X02</td>
    </tr>

        <tr>
        <td>269PF-4A</td>
    </tr>

        <tr>
        <td>69PF-4-2</td>
    </tr>

        <tr>
        <td>F269-4-2</td>
    </tr>

        <tr>
        <td>MP69-40</td>
    </tr>

        <tr>
        <td>PG69C</td>
    </tr>

    </table>",2530514
20296,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0806</td>
    </tr>

        <tr>
        <td>1269x8</td>
    </tr>

        <tr>
        <td>1270X2</td>
    </tr>

        <tr>
        <td>169P-8-6</td>
    </tr>

        <tr>
        <td>269-P-08x06</td>
    </tr>

        <tr>
        <td>269P08X06</td>
    </tr>

        <tr>
        <td>269PF-8C</td>
    </tr>

        <tr>
        <td>69PF-8-6</td>
    </tr>

        <tr>
        <td>F269-8-6</td>
    </tr>

        <tr>
        <td>MP69-86</td>
    </tr>

        <tr>
        <td>PG69F</td>
    </tr>

    </table>",2530521
20288,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>1269X3</td>
    </tr>

        <tr>
        <td>169P-3-2</td>
    </tr>

        <tr>
        <td>269P03X02</td>
    </tr>

    </table>",2530513
20287,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02669-0202</td>
    </tr>

        <tr>
        <td>1269x2</td>
    </tr>

        <tr>
        <td>269-P-02x02</td>
    </tr>

        <tr>
        <td>269P-2-2</td>
    </tr>

        <tr>
        <td>269P02X02</td>
    </tr>

        <tr>
        <td>269PF-2A</td>
    </tr>

        <tr>
        <td>69PF-2-2</td>
    </tr>

        <tr>
        <td>F269-2-2</td>
    </tr>

        <tr>
        <td>MP69-22</td>
    </tr>

    </table>",2530512
17195P,blank value,2537333
17194N,blank value,2537330
17195N,blank value,2537332
17193P,blank value,2537329
17194P,blank value,2537331
20445,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02697-04</td>
    </tr>

        <tr>
        <td>294-PM 04</td>
    </tr>

        <tr>
        <td>294PM04</td>
    </tr>

        <tr>
        <td>393PD-4-4</td>
    </tr>

    </table>",2530565
20437,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02699-0404</td>
    </tr>

        <tr>
        <td>298-PD 04x04</td>
    </tr>

        <tr>
        <td>398PD-4-4</td>
    </tr>

    </table>",2530563
20439,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02699-0604</td>
    </tr>

        <tr>
        <td>298-PD 06x04</td>
    </tr>

        <tr>
        <td>398PD-6-4</td>
    </tr>

    </table>",2530564
20453,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02621-06</td>
    </tr>

        <tr>
        <td>MP61PCP-6</td>
    </tr>

    </table>",2530567
20451,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02621-04</td>
    </tr>

        <tr>
        <td>MP61PCP-4</td>
    </tr>

    </table>",2530566
20088C,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>31096022</td>
    </tr>

    </table>",2530972
20085C,blank value,2530969
20384,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02760-06</td>
    </tr>

        <tr>
        <td>1260x6B</td>
    </tr>

        <tr>
        <td>260-UB-06</td>
    </tr>

        <tr>
        <td>260PFB-6</td>
    </tr>

        <tr>
        <td>260UB06</td>
    </tr>

        <tr>
        <td>60PB-6</td>
    </tr>

        <tr>
        <td>60PFB-6</td>
    </tr>

        <tr>
        <td>FB260-6</td>
    </tr>

    </table>",2530459
20382,"<table class=""standard-table shop"">
    <tr>
        <th>Industry Crossover Numbers</th>
    </tr>

    <tr>
        <td>02760-04</td>
    </tr>

        <tr>
        <td>1260x4B</td>
    </tr>

        <tr>
        <td>260-UB-04</td>
    </tr>

        <tr>
        <td>260PFB-4</td>
    </tr>

        <tr>
        <td>260UB04</td>
    </tr>

        <tr>
        <td>60PB-4</td>
    </tr>

        <tr>
        <td>60PFB-4</td>
    </tr>

        <tr>
        <td>FB260-4</td>
    </tr>

    </table>",2530458
