id;catalog_number;description;add_descr;attributes
2887090;321B-95;Durham 321B-95 6LR BEARING RACK #95 GRAY;nan;nan
2887110;3501-4S-95;Durham 3501-4S-95 FDC 36X24X72 4S KH 95;nan;nan
2887431;730-95;Durham 730-95 60 BIN SB #95 GRAY;nan;nan
2887511;DWB-3060-BE-PB-95;Durham DWB-3060-BE-PB-95 DUR WK BCH 30X60 BE PB #95 GRAY;nan;nan
2887535;EGCVC2-50;Durham EGCVC2-50 ECON GAS CYL CAB VERT 2 CYL #50 YELLOW;nan;nan
2887635;HC1125S;Durham HC1125S 8 FULL PNEUMATIC SWIVEL NO ZERK IN WHEEL;nan;nan
2887639;HC1150R;Durham HC1150R 5 X 1.25 POLYURETHANE RIGID GRAY 300#;nan;nan
2887679;HDC36-96-4S95;Durham HDC36-96-4S95 12G-HDC BDLP 24X36X78 96B 4S 6^BA CH 95;nan;nan
2887915;LPRSS-34.5X20-95;Durham LPRSS-34.5X20-95 LOUVERED PANEL STAND 34-1/2^ X 20^ #95 GRAY;nan;nan
2887919;LPW-34.5X12-95;Durham LPW-34.5X12-95 LOUVERED PANEL WALL (2) 17.25^ x 12^ PANELS #95 GRAY;nan;nan
2887943;MT183630-2K395;Durham MT183630-2K395 MACH TBL 183630 2K 3SH #95;nan;nan
2887959;MT304836-3K295;Durham MT304836-3K295 MACH TBL 304836 3K 2SH #95;nan;nan
2888019;OPC-1836-3-95;Durham OPC-1836-3-95 3SC 18X36X37 5/8 1.2K SH WS 5PU RS SB 95;nan;nan
2888047;RB28-10-95;Durham RB28-10-95 RB28 10 SEC STEM ASY 65 1/2^ #95 GRAY;nan;nan
2888067;RB58-5-BASEASY-95;Durham RB58-5-BASEASY-95 RB58 5 SECTION BASE ASSEMBLY #95 GRAY;nan;nan
2888071;RIC-2448-2-95;Durham RIC-2448-2-95 2SC 24X48 1.2K SH LD 8PN RS RM 95;nan;nan
2888111;RSC-2448-3-3K-TLD-95;Durham RSC-2448-3-3K-TLD-95 3SC 24X48 3K SH TLD 6PH RS 95;nan;nan
2888155;RSCE-1836-2-TLD-95;Durham RSCE-1836-2-TLD-95 2SC 18X36 1.2K ERG TLD 5PU RS SB 95;nan;nan
2888191;SJC-DLP-144-4S-95;Durham SJC-DLP-144-4S-95 DDC 48X24X84 144B 4S KH 10;nan;nan
2888219;TR-1502-95;Durham TR-1502-95 15^ ATT TRAY 3^ CLOSED FRONT #95 GRAY;nan;nan
2888251;099-95;Durham 099-95 ADLH-C #95 GRAY;nan;nan
2888275;LP24-CLEAR;Durham LP24-CLEAR 24 CPTCLEAR POLYPRO;nan;nan
2888303;PB30178-08;Durham PB30178-08 PB DIV HORZ PKG OF 6 BLACK PB30250 BIN;nan;nan
2888319;508-43;Durham 508-43 24 UNITWITH PART#43 WHITE;nan;nan
2888327;PB30230-52;Durham PB30230-52 PLASTIC BIN 6W X 11L X 5H #52 BLUE;nan;nan
2888331;15007-95;Durham 15007-95 RB34 PLASTIC PAN 95 GY;nan;nan
2888351;PB30220-17;Durham PB30220-17 PLASTIC BIN 4W X 7L X 3H #17 RED (Sold in cartons of 24);nan;nan
2888363;133-95-EXL-V/DV;Durham 133-95-EXL-V/DV DVDRS-EXL(VERT)IND;nan;nan
2888387;612-95;Durham 612-95 DIVTB-9PACK 9 BG;nan;nan
2886899;1004M-50;Durham 1004M-50 FSC 4 GAL. 1 MAN DR 17^X18^X22^ #50 YEL;nan;nan
2886907;1016M-50;Durham 1016M-50 FSC 16 GAL. 1 MAN DR 23^X18^X44^ #50 YEL;nan;nan
2886915;1030M-50;Durham 1030M-50 FSC 30 GAL. 2 MAN DR 43^X18^X44^ #50 YEL;nan;nan
2886919;1045M-50;Durham 1045M-50 FSC 45 GAL. 2 MAN DR 43^X18^X65^ #50 YEL;nan;nan
2886991;2221-95;Durham 2221-95 EMC 18X48 PH 1D 1SH 4DR 5PU #95;nan;nan
2887019;2501M-BLP-4S-95;Durham 2501M-BLP-4S-95 FDC 16GA 24X36X80 MOBILE BLP 4S 6PH RS SB 95;nan;nan
2887131;3501-DLP-72/40B-96-95;Durham 3501-DLP-72/40B-96-95 FDC 36X24X72 96B 72/40B KH 95;nan;nan
2887180;3603-156B-95;Durham 3603-156B-95 FDC 36X18X84 BDLP 156B KH 95;nan;nan
2887240;398-95;Durham 398-95 44 BIN SB #95 GRAY;nan;nan
2887336;4STE-EX-2436-95;Durham 4STE-EX-2436-95 4ST 24X36 EX 2K ERG SH 6PH RS 95;nan;nan
2887340;4STE-SM-2436-95;Durham 4STE-SM-2436-95 4ST 24X36 SM 2K ERG SH 6PH RS 95;nan;nan
2887432;735-95;Durham 735-95 84 BIN SB #95 GRAY;nan;nan
2887456;BCTE-2860-4K-95;Durham BCTE-2860-4K-95 BAR CRADLE TRK 28X60 3 CRADLE 4K #95;nan;nan
2887516;DWB-3072-BE-RSR-95;Durham DWB-3072-BE-RSR-95 DUR WK BCH 30X72 BE RSR #95 GRAY;nan;nan
2887628;H1397;Durham H1397 CH510 ONE PAIR OF KEYS FSC;nan;nan
2887680;HDC36-DC12TB4S95;Durham HDC36-DC12TB4S95 12G HDC 36X36X78 12TB 4S 6^BA CH #95;nan;nan
2887700;HDC72-192-3S1795;Durham HDC72-192-3S1795 12G-HDC BDLP 24X72X78 192B #17 3S 6^BA CH 95;nan;nan
2887784;HDDS243666-6S95;Durham HDDS243666-6S95 12G-HDC DBL SHFT 24X36X66 6S 6^BA CH 95;nan;nan
2887812;HDWC243678-7M95;Durham HDWC243678-7M95 12G-HDC WARDROBE 7DR MID 24X36X78 2S 6^BA CH 95;nan;nan
2888052;RB28-95;Durham RB28-95 RB28 #95 GRAY;nan;nan
2888152;RSCE-1836-2-3.6K-ALD-95;Durham RSCE-1836-2-3.6K-ALD-95 2SC 18X36 3.6K ERG ALD 6PH RS SB 95;nan;nan
2888220;TRM-2430-95;Durham TRM-2430-95 TRAY-MESH 24X30 #95 GRAY;nan;nan
2888224;VBR-8436-95;Durham VBR-8436-95 VERTICAL BAR RACK #95 GRAY;nan;nan
2888260;119-95;Durham 119-95 ADL W/C #95 GRAY;nan;nan
2888272;LP12-CLEAR;Durham LP12-CLEAR 12 CPTCLEAR POLYPRO;nan;nan
2888276;LP6-CLEAR;Durham LP6-CLEAR 6 CPTCLEAR POLYPRO;nan;nan
2888280;202-95;Durham 202-95 DS 24 W/C #95 GRAY;nan;nan
2888316;097-95;Durham 097-95 ADLH DIVPACK 12;nan;nan
2888352;PB30220-21;Durham PB30220-21 PLASTIC BIN 4 W X 7 L X 3 H #21 YELLOW;nan;nan
2888356;511G-43;Durham 511G-43 16P#43 WHTWITH GASKET;nan;nan
2888368;224-D845;Durham 224-D845 DL-32 COVER LABEL;nan;nan
2888388;216-95;Durham 216-95 DIVADS SCPBAG OF 9;nan;nan
2886864;003-95;Durham 003-95 8 D CABINET#95 GRAY;nan;nan
2886868;007-95;Durham 007-95 24 D CABINET#95 GRAY;nan;nan
2886872;016-95;Durham 016-95 BFC 20 #95 GRAY;nan;nan
2886880;027-95;Durham 027-95 30 DR17 ASY. UNIT #95 GRAY;nan;nan
2886884;031-95;Durham 031-95 24DR11 CAB#95 GRAY;nan;nan
2886888;035-95;Durham 035-95 30DR17 CAB#95 GRAY;nan;nan
2886892;056-95;Durham 056-95 AU-3LG AERO CAB #95;nan;nan
2886896;060-95-WSS;Durham 060-95-WSS FIXED SLOTTED SHELF AEROSOL CABINET #95 GRAY;nan;nan
2886900;1004S-50;Durham 1004S-50 FSC 4 GAL. 1 SC DR 17-3/8^X18-1/8^X23-3/8^ #50 YEL;nan;nan
2886908;1016ML-50;Durham 1016ML-50 FSC 16 GAL. 1 MAN DR 23^X18^X50^ W/LEGS #50 YEL;nan;nan
2886920;1045ML-50;Durham 1045ML-50 FSC 45 GAL. 2 MAN DR 43^X18^X71^ W/LEGS #50 YEL;nan;nan
2886924;1060M-50;Durham 1060M-50 FSC 60 GAL. 2 MAN DR 34^X34^X65^ #50 YEL;nan;nan
2886928;107-95-IND;Durham 107-95-IND DL32-C #95 GRAY IND CTN;nan;nan
2886932;1090S-50;Durham 1090S-50 FSC 90 GAL. 2 SC DR 43^X34^X66-3/8^ #50 YEL;nan;nan
2886936;1106-95;Durham 1106-95 RB17 6 SECTION #95 GRAY;nan;nan
2886940;113-95-IND;Durham 113-95-IND DL 16-C#95 GRAYIND;nan;nan
2886944;119-95-IND;Durham 119-95-IND ADL-C#95 GRAYIND;nan;nan
2886948;124-95-06/VERT;Durham 124-95-06/VERT SCOOPDL 6 VERT#95 GRAY;nan;nan
2886952;124-95-21;Durham 124-95-21 SCOOPDL 21#95 GRAY;nan;nan
2886956;124-95-ADLH;Durham 124-95-ADLH SCOOPADLH#95 GRAY;nan;nan
2886960;1341-95;Durham 1341-95 RB34 ADJ. MET. DIV. 20 PACK # 95 GRAY;nan;nan
2886964;1917-95;Durham 1917-95 RB17 ADJ MET DIV 1 PACK #95 GRAY;nan;nan
2886972;2200-95;Durham 2200-95 EMC 18X24 PH 1D 1SH 5PU #95;nan;nan
2886980;2210A-PB-LU-95;Durham 2210A-PB-LU-95 EMC 18X36 PH 2D 1SH PB LU 5PU SB #95;nan;nan
2886984;2211-DLP-6DR-RM-9B-95;Durham 2211-DLP-6DR-RM-9B-95 EMC 19 X 52 3/4 DLP 6DR RM 9B #95;nan;nan
2886988;2212A-TH-LU-95;Durham 2212A-TH-LU-95 EMC 18X36 PH 1D 2SH 1DR TEMP HDBD LU 5PU SB  #95;nan;nan
2886992;226-95-IND;Durham 226-95-IND DS SHELL-C#95 GRAYIND;nan;nan
2886996;229-95-16;Durham 229-95-16 SCOOPDS 16#95 GRAY;nan;nan
2887000;229-95-24;Durham 229-95-24 SCOOPDS 24#95 GRAY;nan;nan
2887004;2500-138B-95;Durham 2500-138B-95 FDC 16GA 24X36X84 BDLP 138B KH 95;nan;nan
2887008;2501-BDLP-102-3S-5295;Durham 2501-BDLP-102-3S-5295 FDC 16GA 24X36X72 BDLP 102B#52 3S KH 95;nan;nan
2887012;2501-BDLP-126-95;Durham 2501-BDLP-126-95 FDC 16GA 24X36X72 BDLP 126B KH 95;nan;nan
2887016;2501M-BLP-30-1795;Durham 2501M-BLP-30-1795 FDC 16GA 24X36X80 MOBILE BLP 30B #17 6PH RS SB 95;nan;nan
2887020;2502-138-3S-1795;Durham 2502-138-3S-1795 FDC 16GA 24X48X72 BDLP 138B#17 3S KH 95;nan;nan
2887024;2502-186-5295;Durham 2502-186-5295 FDC 16GA 24X48X72 BDLP 186B#52 KH 95;nan;nan
2887028;2502M-BLP-18-2S-5295;Durham 2502M-BLP-18-2S-5295 FDC 16GA 24X48X80 MOBILE BLP 18B #52 2S 6PH RS SB 95;nan;nan
2887032;2502M-BLP-42-95;Durham 2502M-BLP-42-95 FDC 16GA 24X48X80 MOBILE BLP 42B 6PH RS SB 95;nan;nan
2887036;2505-4S-95;Durham 2505-4S-95 FDC 16GA 24X48X78 6BA 4S KH 95;nan;nan
2887040;2602-4S-95;Durham 2602-4S-95 FDC 16GA 18X36X72 4S KH 95;nan;nan
2887044;2603-4S-95;Durham 2603-4S-95 FDC 16GA 18X36X84 4S KH 95;nan;nan
2887048;290-95;Durham 290-95 SPR RACK#95 GRAY;nan;nan
2887052;2SPT-2448-2-2K-95;Durham 2SPT-2448-2-2K-95 TWO SIDED PKG TRUCK2 SHELF #95;nan;nan
2887056;2SPT-3060-2-2K-95;Durham 2SPT-3060-2-2K-95 TWO SIDED PKG TRUCK 30X60 2 SHELF #95;nan;nan
2887060;302-95;Durham 302-95 2 LR #95 GRAY;nan;nan
2887068;304B-16.75-95;Durham 304B-16.75-95 16.75 BLR STAND #95 GRAY;nan;nan
2887072;308-95;Durham 308-95 6 SR #95 GRAY;nan;nan
2887076;3100-BLP-18-95;Durham 3100-BLP-18-95 PFDC 24X36X40.5 PH 2D BLP 18B 6PH KH #95;nan;nan
2887080;311-95;Durham 311-95 BLR TT STAND #95 GRAY;nan;nan
2887084;315-95;Durham 315-95 BSR STAND #95 GRAY;nan;nan
2887088;318-45-64;Durham 318-45-64 TRAYPLASTICBFC 64 PK;nan;nan
2887092;329-95;Durham 329-95 12^ 4 BIN SB #95 GRAY;nan;nan
2887096;3401-95;Durham 3401-95 FDMC 24X48 1S SH 1D VS 4DR 6PH #95;nan;nan
2887100;3405-95;Durham 3405-95 FDC 24X48 1S SH 1D VS 5DR #95;nan;nan
2887104;349-95;Durham 349-95 9^ 40 BIN #95 GRAY;nan;nan
2887108;3500-95;Durham 3500-95 FDC 36X24X84 3S KH 95;nan;nan
2887112;3501524RDR-5295;Durham 3501524RDR-5295 FDC 36X24X72 52B #52 1S 4D 12DS KH 95;nan;nan
2887116;3501584RDR-95;Durham 3501584RDR-95 FDC 36X24X72 58B 1S 4D 12DS KH 95;nan;nan
2887120;3501-BDLP-102-3S-95;Durham 3501-BDLP-102-3S-95 FDC 36X24X72 102B 3S KH 95;nan;nan
2887124;3501-BDLP-64-95;Durham 3501-BDLP-64-95 FDC 36X24X72 64B 2S 6DS KH 95;nan;nan
2887128;3501-DLP-60DR11-96-2S-95;Durham 3501-DLP-60DR11-96-2S-95 FDC 36X24X72 96B 2S 60DR KH 95;nan;nan
2887132;3501-DLP-PB-96-2S-1795;Durham 3501-DLP-PB-96-2S-1795 FDC 36X24X72 2S PB DLP 96B #17 KH 95;nan;nan
2887136;3501M-BLP-12-2S-1795;Durham 3501M-BLP-12-2S-1795 FDC 14GA 24X36X80 MOBILE BLP 12B #172S 6PH RS SB 95;nan;nan
2887140;3501M-BLP-30-5295;Durham 3501M-BLP-30-5295 FDC 14GA 24X36X80 MOBILE BLP 30B #52 6PH RS SB 95;nan;nan
2887144;3502-138-3S-5295;Durham 3502-138-3S-5295 FDC 48X24X72 BDLP 138B#52 3S KH 95;nan;nan
2887148;3502-186-95;Durham 3502-186-95 FDC 48X24X72 BDLP186B KH 95;nan;nan
2887152;3502M-BLP-18-2S-5295;Durham 3502M-BLP-18-2S-5295 FDC 14GA 24X48X80 MOBILE BLP 18B #52 2S 6PH RS SB 95;nan;nan
2887156;3502M-BLP-42-95;Durham 3502M-BLP-42-95 FDC 14GA 24X48X80 MOBILE BLP 42B 6PH RS SB 95;nan;nan
2887160;351-95;Durham 351-95 20 BIN SB #95 GRAY;nan;nan
2887164;357-95;Durham 357-95 32 BIN SB #95 GRAY;nan;nan
2887168;3601-95;Durham 3601-95 FDC 36X18X60 3S KH 95;nan;nan
2887172;3602-BLP-14-2S-95;Durham 3602-BLP-14-2S-95 FDC 36X18X72 14B 2S KH 95;nan;nan
2887177;3602-BLP-95;Durham 3602-BLP-95 FDC 36X18X72 BLP KH 95;nan;nan
2887181;3603-95;Durham 3603-95 FDC 36X18X84 4S KH 95;nan;nan
2887185;363-95;Durham 363-95 72 BIN SB #95 GRAY;nan;nan
2887189;364-95;Durham 364-95 12^BBC72/56/42#95 GRAY;nan;nan
2887193;367-95;Durham 367-95 THREADED ROD#95 GRAY;nan;nan
2887197;3701-3S-95;Durham 3701-3S-95 14G-HDC 24X36X60 3S 6^BA CH 95;nan;nan
2887201;3702-16-3S-1795;Durham 3702-16-3S-1795 14G-HDC 24X36X7816B 3S 6^BA CH #17 RED 95;nan;nan
2887205;3702CX-BLP4S-95;Durham 3702CX-BLP4S-95 14G-HDC 24X36X78 BLP 4S 6^BA COMP-X CH 95;nan;nan
2887209;3702CXC-BLP4S-95;Durham 3702CXC-BLP4S-95 14G-HDC 24X36X78 L.DR. CLR BLP 4S 6^BA COMP-X CH 95;nan;nan
2887213;3703CXC-42B-5295;Durham 3703CXC-42B-5295 14G-HDC 24X48X78 L.DR. CLR BLP 42B#52 6^ BA COMP-X CH 95;nan;nan
2887217;3704CX-BLP4S-95;Durham 3704CX-BLP4S-95 14G-HDC 24X60X78 BLP 4S 6^ BA COMP-X CH 95;nan;nan
2887221;3704CXC-BLP4S-95;Durham 3704CXC-BLP4S-95 14G-HDC 24X60X78 L.DR. CLR BLP 4S 6^ BA COMP-X CH 95;nan;nan
2887225;379-95;Durham 379-95 BIN TOPPER W/ ENDS #95 GRAY;nan;nan
2887229;384-95;Durham 384-95 WSR-2 #95 GRAY;nan;nan
2887233;3950-3S-95;Durham 3950-3S-95 BFD 18X36X72 3S PLDH 95;nan;nan
2887237;395-95;Durham 395-95 MOBILE BIN BASE #195 GRAY;nan;nan
2887241;399-95;Durham 399-95 48 BIN SB #95 GRAY;nan;nan
2887245;3SLT-2436-2K-95;Durham 3SLT-2436-2K-95 THREE SIDED LOW TRUCK 24X36 2K 6PH  RS SB #95 GRAY;nan;nan
2887249;3SLT-3048-2K-95;Durham 3SLT-3048-2K-95 THREE SIDED LOW TRUCK 30X48 2K 6PH RS SB # 95 GRAY;nan;nan
2887253;3ST-EX3048-2AS-95;Durham 3ST-EX3048-2AS-95 3 SIDED TRK EXP MTL30X48 2 ADJ SH #95 GRAY;nan;nan
2887257;3ST-EX3060-2AS-95;Durham 3ST-EX3060-2AS-95 3 SIDED TRK EXP MTL30X60 2 ADJ SH #95 GRAY;nan;nan
2887261;3ST-EX3660-2AS-95;Durham 3ST-EX3660-2AS-95 3 SIDED TRK EXP MTL36X60 2 ADJ SH #95 GRAY;nan;nan
2887265;3ST-EX3672-2AS-95;Durham 3ST-EX3672-2AS-95 3 SIDED TRK EXP MTL36X72 2 ADJ SH #95 GRAY;nan;nan
2887269;400-10;Durham 400-10 #20 LIT RACK #10 BLUE;nan;nan
2887277;401-55;Durham 401-55 #31 LIT RACK#55 BURGUNDY;nan;nan
2887281;402-10;Durham 402-10 #32 LIT RACK#10 BLUE;nan;nan
2887285;402-95;Durham 402-95 #32 LIT RACK#95 GRAY;nan;nan
2887289;403-55;Durham 403-55 #33 LIT RACK#55 BURGUNDY;nan;nan
2887293;405-08;Durham 405-08 #32-12 LIT RACK#8 BLACK;nan;nan
2887297;406-08;Durham 406-08 #34-12 LIT RACK#8 BLACK;nan;nan
2887301;407-08-A;Durham 407-08-A 3212/2012 LEG#8 BLACK;nan;nan
2887305;408-08-A;Durham 408-08-A LIT RACK LEGASSEMBLED;nan;nan
2887309;408-75-A;Durham 408-75-A LIT RACK LEGASSEMBLED;nan;nan
2887313;411-75;Durham 411-75 #20-12 LIT RACK#75 TAN;nan;nan
2887317;422-75;Durham 422-75 2033/8020/8831BASE ONLY;nan;nan
2887321;423-75;Durham 423-75 4032#75 TANBASE ONLY;nan;nan
2887325;432-08;Durham 432-08 HLR-12 #8 BLACK;nan;nan
2887329;459-75;Durham 459-75 WOODEN TOP FOR OFFICE CTR PACKED;nan;nan
2887333;4SLT-2448-1.2K-95;Durham 4SLT-2448-1.2K-95 FOUR SIDED LOW TRUCK 24X48 RS SB #95 GRAY;nan;nan
2887337;4STE-EX-2448-95;Durham 4STE-EX-2448-95 4ST 24X48 EX 2K ERG SH 6PH RS 95;nan;nan
2887341;4STE-SM-2448-95;Durham 4STE-SM-2448-95 4ST 24X48 SM 2K ERG SH 6PH RS 95;nan;nan
2887345;5002-18-5295;Durham 5002-18-5295 12G-SHELVING 18X36X60 18B #52 95;nan;nan
2887349;5003-30-5295;Durham 5003-30-5295 12G-SHELVING 18X36X72 30B #52 95;nan;nan
2887353;5006-30-5295;Durham 5006-30-5295 12G-SHELVING 18X48X60 30B #52 95;nan;nan
2887357;5007-42-5295;Durham 5007-42-5295 12G-SHELVING 18X48X72 42B #52 95;nan;nan
2887361;5010-30-5295;Durham 5010-30-5295 12G-SHELVING 24X36X60 30B #52 95;nan;nan
2887365;5011-30-5295;Durham 5011-30-5295 12G-SHELVING 24X36X72 30B #52 95;nan;nan
2887369;5014-30-5295;Durham 5014-30-5295 12G-SHELVING 24X48X60 30B #52 95;nan;nan
2887373;5015-42-5295;Durham 5015-42-5295 12G-SHELVING 24X48X72 42B #52 95;nan;nan
2887377;5018-42-1795;Durham 5018-42-1795 12G-SHELVING 24X60X60 42B #17 95;nan;nan
2887381;5019-54-1795;Durham 5019-54-1795 12G-SHELVING 24X60X72 54B #17 95;nan;nan
2887385;5022-48-1795;Durham 5022-48-1795 12G-SHELVING 24X72X60 48B #17 95;nan;nan
2887389;5023-72-1795;Durham 5023-72-1795 12G-SHELVING 24X72X72 72B #17 95;nan;nan
2887393;518-43-PD;Durham 518-43-PD MED CAB#43PLASTIC DOOR;nan;nan
2887401;534AV-50;Durham 534AV-50 #9 ADJ VERT#50 YELLOW;nan;nan
2887405;562-H719;"Durham 562-H719 OBS;8 CABINET DOOR POUCH W/ ADHESIVE 05-7005-RED";nan;nan
2887409;566-H723;"Durham 566-H723 OBS;22 POCKET POUCH W/ ADHESIVE #15 FX 05-7022-RED";nan;nan
2887413;580-95;Durham 580-95 #6 HOSE CAB #195 GRAY;nan;nan
2887417;590-45-4/PK;Durham 590-45-4/PK BB CB DRWRW/7DIVSPK4;nan;nan
2887421;5WT-3060-12MR-95;Durham 5WT-3060-12MR-95 5TH WH TRK 30X60 12^MR 2K #95;nan;nan
2887425;610-95;Durham 610-95 TB 4 DRAWER CAB#95 GRAY;nan;nan
2887429;720/5.75-95-4;Durham 720/5.75-95-4 5.75^LEG #95 GRAY SET OF FOUR;nan;nan
2887437;905-08-S702;Durham 905-08-S702 #5 LOOP CLAMPSTOCK;nan;nan
2887441;AF-3048-95;Durham AF-3048-95 A FRAME 30X48 #95 GRAY;nan;nan
2887445;AF-3048-PBLP-BS-95;Durham AF-3048-PBLP-BS-95 AF 30X48 2K SH PB LP 6PH RS SB 95;nan;nan
2887449;APT-2448-95;Durham APT-2448-95 ADJUSTABLE PLATFORM TRUCK 24X48 #95 GRAY;nan;nan
2887453;ATT-4038-95;Durham ATT-4038-95 ADJUST A TRAY 40X38 DOUBLE #95;nan;nan
2887461;DC-243636-48-2S-5295;Durham DC-243636-48-2S-5295 DDC 24X36X36 48B #52 2S KH 95;nan;nan
2887465;DC36-48-4S6DS-95;Durham DC36-48-4S6DS-95 DDC 36X24X72 48B 4S 6DS KH 95;nan;nan
2887469;DC36-642S6DS-95;Durham DC36-642S6DS-95 DDC 36X24X72 64B 2S 6DS KH 95;nan;nan
2887473;DC48-114-6DS-95;Durham DC48-114-6DS-95 DDC 48X24X72 114B 2S 6DS KH 95;nan;nan
2887477;DC48-176-1795;Durham DC48-176-1795 DDC 48X24X72 176B #17 KH 95;nan;nan
2887485;DC48-724S6DS-95;Durham DC48-724S6DS-95 DDC 48X24X72 72B 4S 6DS KH 95;nan;nan
2887489;DC-BDLP-132-1795;Durham DC-BDLP-132-1795 DDC 36X24X72 132B #17 KH 95;nan;nan
2887493;DCBDLP524RDR-5295;Durham DCBDLP524RDR-5295 DDC 36X24X72 52B #52 1S 4D 12DS KH 95;nan;nan
2887497;DCBDLP584RDR-95;Durham DCBDLP584RDR-95 DDC 36X24X72 58B 1S 4D 12DS KH 95;nan;nan
2887501;DCBDLP724RDR-1795;Durham DCBDLP724RDR-1795 DDC 48X24X72 72B #17 1S 4D 12DS KH 95;nan;nan
2887505;DC-DLP-96-4S-5295;Durham DC-DLP-96-4S-5295 DDC 36X24X72 96B #52 4S KH 95;nan;nan
2887509;DWB-3060-BE-95;Durham DWB-3060-BE-95 DUR WK BCH 30X60 BE #95 GRAY;nan;nan
2887513;DWB-3072-BE-95;Durham DWB-3072-BE-95 DUR WK BCH 30X72 BE #95 GRAY;nan;nan
2887517;DWB-3672-177-95;Durham DWB-3672-177-95 DUR WK BCH 36X72X34 12GA. TOP 177D #95 GRAY;nan;nan
2887521;DWBM-3060-BE-PB-95;Durham DWBM-3060-BE-PB-95 MOB DUR WK BCH 30X60 BE PB #95 GRAY;nan;nan
2887525;DWBM-3660-BE-LP-95;Durham DWBM-3660-BE-LP-95 MOB DUR WK BCH 36X60 BE LP #95 GRAY;nan;nan
2887529;EGCC12-50;Durham EGCC12-50 ECON GAS CYL CAB 12CYL #50 YELLOW;nan;nan
2887533;EGCC8-9-50;Durham EGCC8-9-50 ECON GAS CYL CAB 8CYL HORZ / 9CYL VERT #50 YELLOW;nan;nan
2887541;EMDC36182S15B1795;Durham EMDC36182S15B1795 CVC 36X18X72 15B #17 2S KH 95;nan;nan
2887545;EMDC361845B5295;Durham EMDC361845B5295 CVC 36X18X72 45B #52 KH 95;nan;nan
2887549;EMDC-361872-18B-2S-1795;Durham EMDC-361872-18B-2S-1795 CVC 36X18X72 BLP 18B#17 2S KH 95;nan;nan
2887553;EMDC-361872-30B-5295;Durham EMDC-361872-30B-5295 CVC 36X18X72 BLP 30B#52 KH 95;nan;nan
2887557;EMDC36242S15B1795;Durham EMDC36242S15B1795 CVC 36X24X72 15B #17 2S KH 95;nan;nan
2887561;EMDC-362472-18B-2S-1795;Durham EMDC-362472-18B-2S-1795 CVC 36X24X72 BLP 18B #17 2S KH 95;nan;nan
2887565;EMDC-362472-30B-5295;Durham EMDC-362472-30B-5295 CVC 36X24X72 BLP 30B #52 KH 95;nan;nan
2887569;EMDC-362484-95;Durham EMDC-362484-95 CVC 36X24X84 3S KH 95;nan;nan
2887573;EMDC-481872-24B-2S-95;Durham EMDC-481872-24B-2S-95 CVC 48X18X72 BLP 24B 2S KH 95;nan;nan
2887577;EMDC-481872-6B-3S-1795;Durham EMDC-481872-6B-3S-1795 CVC 48X18X72 BLP 6B #17 3S KH 95;nan;nan
2887581;EMDC-482472-24B-2S-1795;Durham EMDC-482472-24B-2S-1795 CVC 48X24X72 BLP 24B #17 2S KH 95;nan;nan
2887585;EMDC-482472-42B-5295;Durham EMDC-482472-42B-5295 CVC 48X24X72 BLP 42B #52 KH 95;nan;nan
2887589;EMDC-482472-6B-3S-95;Durham EMDC-482472-6B-3S-95 CVC 48X24X72 BLP 6B 3S KH 95;nan;nan
2887593;EPT-3048-95;Durham EPT-3048-95 STEEL PLATFORM TRUCK 30X48 #95 GRAY;nan;nan
2887597;FDC-SH-2424-95;Durham FDC-SH-2424-95 21 3/8^ X 23 1/2^ .071 ADJ SHELF #95 GRAY;nan;nan
2887601;FDC-SH-4824-95;Durham FDC-SH-4824-95 21 3/8^ X 47 1/2^ .071 ADJ SHELF #95 GRAY;nan;nan
2887605;FED-2023-95;Durham FED-2023-95 MOBILE SHOP DESK-2DR #95 GRAY;nan;nan
2887609;FS-SH-2939;Durham FS-SH-2939 FSC GAL SH FORMED 90 GALLON;nan;nan
2887613;H1071;Durham H1071 1 PC ADJ CAM W/ SET SCREW C-YN-1003;nan;nan
2887617;H1247;Durham H1247 HANDLE LOCKING DC CAB-5.5^ STEM;nan;nan
2887621;H1342;Durham H1342 LOCK ROD SET 40.25^ R-SDB40.25S;nan;nan
2887625;H1346;Durham H1346 LOCK ROD SET 12^ R-SDB12S;nan;nan
2887633;HB-36-95;Durham HB-36-95 HANGER BAR FOR ATT #95 GRAY;nan;nan
2887637;HC1139W;Durham HC1139W 12 X 3 1/2^ FULL PNEU WH 3/4^ BEARING 550# CAP;nan;nan
2887645;HC1209S;Durham HC1209S 8 X 2 PHENOLIC SWIVEL 1400# CAP;nan;nan
2887649;HDC-203636-2S95;Durham HDC-203636-2S95 12G-HDC COUNTER TOP 20X36X36 2S CH 95;nan;nan
2887653;HDC-243642-2S95;Durham HDC-243642-2S95 12G-HDC COUNTER TOP 24X36X42 2S CH 95;nan;nan
2887657;HDC-244866-3S95;Durham HDC-244866-3S95 12G-HDC STORAGE 24X48X66 3S 6^BA CH 95;nan;nan
2887661;HDC-247266-3S95;Durham HDC-247266-3S95 12G-HDC STORAGE 24X72X66 3S 6^BA CH 95;nan;nan
2887665;HDC36-102-3S95;Durham HDC36-102-3S95 12G-HDC BDLP 24X36X78 102B 3S 6^BA CH 95;nan;nan
