id;catalog_number;description;add_descr;attributes
2887324;431-75;Durham 431-75 HLR-9 #75 TAN;nan;nan
2887328;434-75;Durham 434-75 HLR-15 #75 TAN;nan;nan
2887332;4SLT-2436-2K-95;Durham 4SLT-2436-2K-95 FOUR SIDED LOW TRUCK 24X36 2K 6PH RS SB #95 GRAY;nan;nan
2887344;5002-18-1795;Durham 5002-18-1795 12G-SHELVING 18X36X60 18B #17 95;nan;nan
2887348;5003-30-1795;Durham 5003-30-1795 12G-SHELVING 18X36X72 30B #17 95;nan;nan
2887352;5006-30-1795;Durham 5006-30-1795 12G-SHELVING 18X48X60 30B #17 95;nan;nan
2887356;5007-42-1795;Durham 5007-42-1795 12G-SHELVING 18X48X72 42B #17 95;nan;nan
2887360;5010-30-1795;Durham 5010-30-1795 12G-SHELVING 24X36X60 30B #17 95;nan;nan
2887364;5011-30-1795;Durham 5011-30-1795 12G-SHELVING 24X36X72 30B #17 95;nan;nan
2887368;5014-30-1795;Durham 5014-30-1795 12G-SHELVING 24X48X60 30B #17 95;nan;nan
2887372;5015-42-1795;Durham 5015-42-1795 12G-SHELVING 24X48X72 42B #17 95;nan;nan
2887376;5018-3S-95;Durham 5018-3S-95 12G-SHELVING 24X60X60 3S #1650 95;nan;nan
2887380;5019-4S-95;Durham 5019-4S-95 12G-SHELVING 24X60X724S #1650 95;nan;nan
2887384;5022-3S-95;Durham 5022-3S-95 12G-SHELVING 24X72X60 3S #1525 95;nan;nan
2887388;5023-4S-95;Durham 5023-4S-95 12G-SHELVING 24X72X72 4S #1525 95;nan;nan
2887392;518-43-MD;Durham 518-43-MD MED CAB#43METAL DOOR;nan;nan
2887396;532-43;Durham 532-43 #7FX VERT #43 WHITE;nan;nan
2887400;534AV-43-SHELF;Durham 534AV-43-SHELF #9 ADJ VERT SHELF#43;nan;nan
2887404;545-43;Durham 545-43 8 KIT #43 WHITE;nan;nan
2887408;565-H722;Durham 565-H722 20 POCKET POUCH W/ ADHESIVE #11FX 05-7020-RED;nan;nan
2887412;579-95;Durham 579-95 ADJ HYD. HOSE CABINET BASE #95 GRAY;nan;nan
2887416;583-95;Durham 583-95 3 SHELF HYD. HOSE CABINET #95 GRAY;nan;nan
2887420;5WT-2448-12PN-95;Durham 5WT-2448-12PN-95 5TH WH TRK 24X48 12^PN 2K #95;nan;nan
2887424;5WT-3672-12PN-95;Durham 5WT-3672-12PN-95 5TH WH TRK 36X72 12^PN 2K #95;nan;nan
2887428;720/15-95-4;Durham 720/15-95-4 15^LEG#95 GRAY SET OF FOUR;nan;nan
2887436;806-95;Durham 806-95 DOOR TRAY-3 #95 GRAY;nan;nan
2887440;AF-2448-95;Durham AF-2448-95 A FRAME 24X48 #95 GRAY;nan;nan
2887444;AF-3048-PBLP-95;Durham AF-3048-PBLP-95 AF 30X48 2K SH PB LP 6PH RS SB 95;nan;nan
2887448;APT-2436-95;Durham APT-2436-95 ADJUSTABLE PLATFORM TRUCK 24X36 #95 GRAY;nan;nan
2887452;ATT-2438-95;Durham ATT-2438-95 ADJUST A TRAY 24X38 SINGLE #95;nan;nan
2887460;DC-243636-48-2S-1795;Durham DC-243636-48-2S-1795 DDC 24X36X36 48B #17 2S KH 95;nan;nan
