id,catalog_number,attributes
2851161,SGUR100,"Catalog Number:SGUR50, SGUR63, SGUR75, SGUR100, SGUR125, SGUR150, SGUR175, SGUR200, SGUR250, SGUR300, SGUR350"
2851163,SGUR200,"Catalog Number:SGUR50, SGUR63, SGUR75, SGUR100, SGUR125, SGUR150, SGUR175, SGUR200, SGUR250, SGUR300, SGUR350"
2851158,SGUL300,"Catalog Number:SGUL50, SGUL63, SGUL75, SGUL100, SGUL125, SGUL150, SGUL175, SGUL200, SGUL250, SGUL300, SGUL350"
2851160,SGUL75,"Catalog Number:SGUL50, SGUL63, SGUL75, SGUL100, SGUL125, SGUL150, SGUL175, SGUL200, SGUL250, SGUL300, SGUL350"
2851156,SGU63,"Catalog Number:SGU50, SGU63, SGU75, SGU100, SGU125, SGU150, SGU175, SGU200, SGU250, SGU300, SDU350"
2851157,SGU75,"Catalog Number:SGU50, SGU63, SGU75, SGU100, SGU125, SGU150, SGU175, SGU200, SGU250, SGU300, SDU350"
2851159,SGUL350,"Catalog Number:SGUL50, SGUL63, SGUL75, SGUL100, SGUL125, SGUL150, SGUL175, SGUL200, SGUL250, SGUL300, SGUL350"
2851155,SGU50,"Catalog Number:SGU50, SGU63, SGU75, SGU100, SGU125, SGU150, SGU175, SGU200, SGU250, SGU300, SDU350"
2851151,SGU100,"Catalog Number:SGU50, SGU63, SGU75, SGU100, SGU125, SGU150, SGU175, SGU200, SGU250, SGU300, SDU350"
2851152,SGU125,"Catalog Number:SGU50, SGU63, SGU75, SGU100, SGU125, SGU150, SGU175, SGU200, SGU250, SGU300, SDU350"
2851153,SGU175,"Catalog Number:SGU50, SGU63, SGU75, SGU100, SGU125, SGU150, SGU175, SGU200, SGU250, SGU300, SDU350"
2851150,SGTSL75,"Catalog Number:SGTSL75, SGTSL100, SGTSL125, SGTSL150"
2851149,SGTSL150,"Catalog Number:SGTSL75, SGTSL100, SGTSL125, SGTSL150"
2851148,SGTSL125,"Catalog Number:SGTSL75, SGTSL100, SGTSL125, SGTSL150"
2851147,SGTSL100,"Catalog Number:SGTSL75, SGTSL100, SGTSL125, SGTSL150"
2851143,SGTS125,"Catalog Number:SGTS75, SGTS100, SGTS125, SGTS150"
2851145,SGTS150,"Catalog Number:SGTS75, SGTS100, SGTS125, SGTS150"
2851146,SGTS75,"Catalog Number:SGTS75, SGTS100, SGTS125, SGTS150"
2851138,SGTDL350,"Catalog Number:SGTDL75, SGTDL100, SGTDL125, SGTDL150, SGTDL200, SGTDL250, SGTDL300, SGTDL350, SGTDL400"
2851140,SGTDL75,"Catalog Number:SGTDL75, SGTDL100, SGTDL125, SGTDL150, SGTDL200, SGTDL250, SGTDL300, SGTDL350, SGTDL400"
2851139,SGTDL400,"Catalog Number:SGTDL75, SGTDL100, SGTDL125, SGTDL150, SGTDL200, SGTDL250, SGTDL300, SGTDL350, SGTDL400"
2851136,SGTDL250,"Catalog Number:SGTDL75, SGTDL100, SGTDL125, SGTDL150, SGTDL200, SGTDL250, SGTDL300, SGTDL350, SGTDL400"
2851141,SGTS100,"Catalog Number:SGTS75, SGTS100, SGTS125, SGTS150"
