id,catalog_number,add_descr,attributes
2887256,3ST-EX3060-1AS-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3060-1AS-95|Weight:214 lbs. / 97 kgs.|Shelves:1|Capacity:2,000 lbs. / 907 kgs.|Dimensions Overall:in: *60-1/2 x 30-3/8 x 56-7/16  mm: 1537 x 772 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887264,3ST-EX3672-1AS-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3672-1AS-95|Weight:318 lbs. / 144 kgs.|Shelves:1|Capacity:2,000 lbs. / 907 kgs.|Dimensions Overall:in: *72-1/2 x 36-3/8 x 56-7/16  mm: 1842 x 924 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887272,400-75,20 Pocket ,Model:400-75|Weight:24 lbs. / 11 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 58  mm: 248 x 105 x 1473|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Tan
2887268,400-08,20 Pocket ,Model:400-08|Weight:24 lbs. / 11 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 58  mm: 248 x 105 x 1473  |Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Black
2887252,3ST-EX3048-1AS-95,3 Sided Mesh Stock Truck,"Model:3ST-EX3048-1AS-95|Weight:220 lbs. / 100 kgs.|Shelves:1|Capacity:2,000 lbs. / 907 kgs.|Dimensions Overall:in: *48-1/2 x 30-3/8 x 56-7/16  mm: 1232 x 772 x 1434  *handle add 6"" to width|Colors:Durable, textured, gray powder coat finish"
2887236,3953-4S-95,* Features space-saving bi-folding doors ,"Model:3953-4S-95|Weight:422 lbs. /189 kgs|Shelves:4|Capacity:900 lbs. / 408 kgs. per shelf|Dimensions Overall:in: 36 x 24 x 84  mm: 915 x 610 x 2134|Material:14 Gauge Steel|Colors:Durable, textured, gray powder coat finish"
2887276,401-54,23 Pocket ,Model:401-54|Weight:28 lbs. / 13 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 65-1/2  mm: 248 x 105 x 1664|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Putty
2887280,402-08,11 Pocket ,Model:402-08|Weight:14 lbs. / 6 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 36  mm: 248 x 105 x 915|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Black
2887284,402-75,11 Pocket ,Model:402-75|Weight:14 lbs. / 6 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 36  mm: 248 x 105 x 915|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Tan
2887304,407-95-A,Optional Legs for models 405 and 411,Model:407-95-A|Weight:3 lbs. / 1 kgs.|Dimensions Overall:in: 13-7/16 x 14 x 5-7/8  mm: 341 x 356 x 149|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish that is Rust and Acid Resistant|Colors:Gray
2887300,406-95,10 Pockets Literature Rack (large),Model:406-95|Weight:12 lbs. / 6 kgs.|Dimensions Overall:in: 13-1/4 x 1-5/16 x 26-1/4  mm: 337 x 33 x 667|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish that is Rust and Acid Resistant|Colors:Gray
2887292,4050-3S-95,,"Model:4050-3S-95|Weight:466 lbs. / 211 kgs.|Shelves:3|Capacity:1900 lbs. / 862 kgs.|Dimensions Overall:in: 36 x 24 x 78  mm: 915 x 610 x 1981|Material:12 Gauge Steel|Colors:Durable, textured powder coat paint"
2887288,403-54,5 Pocket ,Model:403-54|Weight:9 lbs. / 4 kgs.|Dimensions Overall:in: 9-3/4 x 4-1/8 x 20-1/4  mm: 248 x 105 x 514|Carton Pk:1|Material:Prime cold rolled steel has a powder coated finish that is rust and acid resistant|Colors:Putty
2887324,431-75,9 Opening Horizontal Literature Rack,Model:431-75|Weight:25 lbs. / 11 kgs.|Dimensions Overall:in: 33-7/8 x 11-5/8 x 10-11/16  mm: 861 x 295 x 272|Carton Pk:1|Material:Prime Cold Rolled Steel has a Powder Coated Finish and is Rust and Acid Resistant|Colors:Tan
2886887,034-95,30 Drawers feature sides slotted on one inch centers to hold high impact plastic dividers in place. They also have two easy glide runners and full width handles.,Model:034-95|Weight:87 lbs | 39 kgs|Carton Pk:1|Material:Prime cold rolled steel|Interlocking and Welded Construction|Colors:Gray Powder Coat Finish|Depth:11 3/4 in | 298 mm|Height:21 1/8 in | 537 mm|Width:33 3/4 in | 857 mm|Drawer Dimensions:in: 4-7/8 x 11-1/4 x 3-1/2  mm: 124 x 286 x 89
