id,catalog_number,description,main_image
2071801,HA25NYFD76,"DIXON HA25NYFD76 2-1/2\ FNYFD X 3/4\"" MGHT HYDR ADPT BRASS P/L""",
2071800,HA25NYFD75T,"DIXON HA25NYFD75T 2-1/2\ FNYFD X 3/4\"" MNPT P/L BRASS HYDR ADPTR""",
2071799,HA25NYFD25F,"DIXON HA25NYFD25F 2-1/2\ FNYFD X 2-1/2\"" MNST P/L BRASS HYDR ADPTR""",
2071798,HA25NYFD20T,"DIXON HA25NYFD20T 2-1/2\ FNYFD X 2\"" MNPT HYDR ADPT BRASS P/L""",
2071797,HA25NYFD15T,"DIXON HA25NYFD15T 2-1/2\ FNYFD X 1-1/2\"" MNPT HYDR ADAPT BRASS P/L""",
2071796,HA25NYFD15S,"DIXON HA25NYFD15S 2.5\ FNYFD X 1.5\"" MNPSH P/L BRASS ** THIS IS A SPECIAL ORDER **""",
2071795,HA25NYFD15NYFD,"DIXON HA25NYFD15NYFD 2.5\ FNYFD x 1.5\"" MNYFD HYD ADPT BR""",
2071794,HA25NYFD15F,"DIXON HA25NYFD15F 2.5\ FNYFD X 1.5\"" MNST BR HYD ADAPT""",
2071792,HA25NYC75T,"DIXON HA25NYC75T 2-1/2\ FNYC X 3/4\"" MNPT PL BR HYDR ADPT""",
2071791,HA25NYC20T,"DIXON HA25NYC20T 2 1/2\ FNYC X 2\"" MNPT P/L BRASS HYDRANT ADAPTER""",
2071790,HA25NYC15T,"DIXON HA25NYC15T 2-1/2\ FNYC (3.00x8) X 1-1/2\"" MNPT P/L BRASS ADPT""",
2071789,HA25NYC15F,"DIXON HA25NYC15F 2-1/2\ FNYC X 1-1/2\"" MNST BR P/L HYDR ADPTR""",
2071788,HA25NYC10T,"DIXON HA25NYC10T 2-1/2\ FNYC X 1\"" MNPT PL BRASS ADPT""",
2071787,HA2576-D,"DIXON HA2576-D 2 1/2\ FNST X 3/4\"" MGHT BRASS PL HYDRA ADTR""",
2071786,HA2515T-D,"DIXON HA2515T-D 2-1/2\ FNST X 1-1/2\"" MNPT PL BRASS ** DOMESTIC PRODUCT **""",
2071785,HA2515F-D,DIXON HA2515F-D 2 1/2F NST X 1 1/2M NST HYDRNT ADP ** DOMESTIC PART **,
2071784,HA2510T-D,"DIXON HA2510T-D 2 1/2\ FNST X 1\"" MNPT BRASS PL HYDRA ADPTR""",
2071780,HA15T10F,"DIXON HA15T10F 1-1/2\ FNPT X 1\"" MNST BRASS ADAPTER PIN LUG - ** SPECIAL ORDER **""",
2071776,HA15NYFD76,"DIXON HA15NYFD76 1-1/2\ NYFD F X 3/4\"" M GHT BRASS HYDR ADPT""",
2071775,HA15NYFD15T,"DIXON HA15NYFD15T 1-1/2\ FNYFD X 1-1/2\"" MNPT ADAPTER""",
2071774,HA1576-D,"DIXON HA1576-D 1 1/2\ F NST X 3/4\"" M GHT BRASS HYDR ADPTR""",
2071772,HA0243,"DIXON HA0243 3\ 316 STAINLESS STEEL HOLEDALL DIN EXTERNAL CRIMP FEMALE STEM""",
2071771,HA0241,"DIXON HA0241 2\ 316 STAINLESS STEEL HOLEDALL DIN EXTERNALL CRIMP FEMALE STEM""",
2071770,HA0240,"DIXON HA0240 1 1/2\ 316 STAINLESS STEEL HOLEDALL DIN EXTERNAL CRIMP FEMALE STEM""",
2071769,HA0238,"DIXON HA0238 3\ 316 STAINLESS STEEL HOLEDALL DIN EXTERNAL CRIMP MALE STEM""",
2071768,HA0236,"DIXON HA0236 2\ 316 STAINLESS STEEL HOLEDALL DIN EXTERNAL CRIMP MALE STEM""",
2071767,HA0235,"DIXON HA0235 1 1/2\ 316 STAINLESS STEEL HOLEDALL DIN EXTERNAL CRIMP MALE STEM""",
2071756,H450Y50UC,"DIXON H450Y50UC 5\ X 50 LD YELLOW NITRILE HOSE UNCPLD""",
2071752,GWDGV250F,DIXON GWDGV250F 2 1/2 FNPT X 2 1/2 MNST GATE VALVE WITH CAP AND CHAIN CAST BRASS,
2071751,GV-KNOB,DIXON GV-KNOB KNOB FOR GATE VALVE HANDWHEEL,
2071750,GV-HDWHL,DIXON GV-HDWHL COMPLETE HANDWHEEL FOR GATE VALVE - NORTHLINE,
2071749,GSTC60,"DIXON GSTC60 GLOBAL 6\ KING NIPPLE PLATED""",
2071748,GSTC50,"DIXON GSTC50 5\ GLOBAL NIPPLE PLATED""",
2071747,GSTC5,"DIXON GSTC5 GLOBAL 3/4\ KING NIPPLE PLATED""",
2071746,GSTC40,"DIXON GSTC40 GLOBAL 4\ KING NIPPLE PLATED""",
